,title,company,salary,summary
109,nieuwOndersteuner institutionele fondsenwerver,Vredesorganisatie PAX,€2.002 - €2.653 per maand,"Ondersteuner institutionele fondsenwerver (0,5 FTE).PAX is succesvol in het werven van subsidies van overheden in binnen- en buitenland."
110,Traineeship Sales,The Selection Lab,€3.000 per maand,Je wilt je sales carrière van begin af aan serieus aanpakken.Bruto maandsalaris van ~€3000 (dit is inclusief variabele bonus).
111,Team Lead Customer Support,Insify,,"Het kloppend hart van Insify.Behoeften en verwachtingen van ondernemers vandaag, zijn niet meer hetzelfde als voorheen.Je bent full-time beschikbaar."
112,"Afstudeerstage Technology Consulting, Commerciële Sector",PwC,,"You like to analyze new issues and find solutions in a practical and creative way.The opportunities of e.g. Internet of Things, 5G, blockchain or cloud to…"
113,nieuwSoftware Engineer,Biller,,We are looking for someone with a minimum of 1+ years experience with building modern cloud-based web applications using any modern programming language.
114,Corporate Recruiter,Leger des Heils,,’s Ochtends klap je vanuit huis of vanaf kantoor je laptop open en start met wat binnengekomen vragen.Een kandidaat wil weten of er een ‘kleiner contract’…
115,FP&A Analyst,Signify,,We’re looking for a FP&A Analyst to join our FP&A Group CoE in Amsterdam.Working for Signify means being creative and adaptive.What you’ll get in return….
116,Receptionist (24 uur) te Schiphol,DHL,€2.150 - €2.350 per maand,"Ben jij een gastvrouw/heer pur sang, representatief, spontaan en hou je van multitasken?Dan verwelkomen we je graag als onze nieuwe receptionist(e) bij DHL…"
117,Electrical Engineer,PARKEAGLE,,"Parkeagle is looking for an Electrical Engineer to fill the role of designing, building our hardware solutions and system software."
118,Solutions Architect - Netherlands,Dell Technologies,,"Join us as a Solutions Architect in our Sales Engineering team in the Netherlands, to do the best work of your career and make a profound social impact."
119,Senior Consultant Energy - Pricing & Sourcing,Sia Partners,,"Sia Partners is a next generation management consulting firm and pioneer of Consulting 4.0.We offer a unique blend of AI and design capabilities, augmenting…"
120,Chef Online (a.i.),Happinez,,"Happinez is het mediamerk voor wie bezig is met authentiek geluk, persoonlijke groei en betekenisvol leven.Wegens verlof zijn wij met urgentie op zoek naar een…"
121,Client Partner - Insurance Sales - Netherlands,Infosys,,Role: Associate Engagement Manager(JL6).As AEM you are an expert at contributing to different phases of the Sales lifecycle and will be intensely involved in…
122,Cyber Resilience Sales Specialist,Dell Technologies,,Dell Technologies portfolio of emerging technologies is enough to get your pulse racing.But our customers are our heartbeat and deserve human interaction that…
123,"nieuwWireless Machine Learning Researcher - Qualcomm Research, Am...",Qualcomm Technologies Netherlands B.V.,,"Engineering Group, Engineering Group > Machine Learning Researcher.We are a dedicated team working across multiple continents developing Qualcomm’s core AI…"
124,IT Privacy Officer,Signify,,"We’re looking for a IT Privacy Officer to join our IT Quality, Risk & Compliance in Eindhoven.Working for Signify means being creative and adaptive."
125,Junior Consultant Marketing Strategy & Digital Transformatio...,Sia Partners,,"Sia Partners is a next generation management consulting firm and pioneer of Consulting 4.0.We offer a unique blend of AI and design capabilities, augmenting…"
126,Head of Sales,Young Mavericks,,"Bij Young Mavericks zijn we opzoek naar een Head of Sales om ons team te komen versterken.Full-time · Kattenburgerstraat 5, Amsterdam."
127,Software Engineering Intern,Databricks,,"At Databricks, we are passionate about helping data teams solve the world's toughest problems — from making the next mode of transportation a reality to…"
128,Talent Business Partner,Quin,,“Everyone at Quin is driven by the same mission:Building AI-solutions that will transform healthcare.”.Help us build the future of healthcare.
129,Front End Developer,Quin,,"""At Quin, we're not just writing code; we write quality code that impacts lives."".Vladyslav, Chapter Lead Front End Team.+ Make (grand)ma proud ;-)."
130,BRP Specialist,Gemeente Diemen,€4.048 per maand,Bij Burgerzaken kan jij je liefde voor dienstverlening en klantgerichtheid mooi combineren.Daarnaast ondersteun en coach je collega's.
131,Frontend Engineer,Lemonade Insurance Company,,"If you’re a true tech geek, creative thinker, and a CSS pro, read on.3+ years experience working as a frontend engineer."
132,EMEA Threat Management Consultant,IBM,,"In this role, you will engage with customers helping them establish their overall threat management journey, shape how they want to operate in the future and…"
133,nieuwSAP S/4HANA Associate Partner,IBM,,"IBM is a global Systems Integrator and longlasting SAP partner, providing innovative and differentiated service offerings to both existing and new SAP clients…"
134,Project Analist,iBOOD,,"Deze persoon werkt vanuit de data om vervolgens projecten te initiëren, teams samen te stellen die aan de hand van de gevonden data verandering kunnen brengen…"
135,SAP Production Planning Consultant,IBM,,"Our team takes on the challenge of designing, developing and re-engineering highly complex application components and integrating software packages using…"
136,nieuwMedior Bouwkunde/ Architectural Engineer,Bilfinger,,Onze engineers en consultants lopen voorop in het realiseren van industriële investeringsprojecten.Je maakt deel uit van de afdeling ‘Architectural/Bouwkunde”…
137,Data Engineer,Klue,€65.000 - €110.000 per jaar,We’re a team of highly skilled software engineers and data scientists based out of Amsterdam and Vancouver.A set of automated pipelines for data collection and…
138,Cloud Applications Business Development Executive,IBM,,You will guide clients and solution sales teams in the adoption of Hybrid Cloud and sell services on top of this Hybrid Cloud platform.
139,Junior Business Consultant,Knowledge Values,,Business Consultants in Knowledge Values are challenged to identify business needs and provide our clients with best practices and high quality solutions…
140,Corporate Communications Manager,Signify,,Deputizing for the Chief Press Officer.Drafting news releases and pitching to the media.Managing interns in developing on our digital news summary service…
141,nieuwJunior Infrastructure Engineer,Bilfinger,,Onze engineers en consultants lopen voorop in het realiseren van industriële investeringsprojecten.Jouw standplaats is Velsen- Noord en je maakt deel uit van…
142,Marketing & Events Intern,Careers at Growth Tribe,,"*40% Managing speaker availability, communication and logistics: *.Managing the promotion planning and content.Available full-time and ASAP."
143,Strategy Manager,Signify,,"As a Strategy Manager, you’ll be responsible for the development of strategies to support Leadership, Markets, Divisions, and management teams in resolving…"
144,Account Support Specialist,Nestlé,,"Als Account Support Specialist ben je een belangrijke spil binnen de Commercial Division.Correcte facturatie, bonusberekeningen en promotieplanning en verzorg…"
