title,company,location,country,working model,salary,summary
Principal Researcher,Microsoft,Bellevue,USA,onsite,,You will also have a lot of opportunities to work with PhD students in the universities and other researchers in Microsoft Research to advance your research…
"Applied Science Manager, AWS AI: Computer Vision","Amazon Dev Center U.S., Inc.",Bellevue,USA,onsite,,"Experience hiring, growing and retaining researchers.PhD in computer science, mathematics or related discipline with focus on computer vision or machine…"
"Alexa AI Sr Solution Architect, Alexa AI",Amazon.com Services LLC,Bellevue,USA,onsite,,"3+ years of experience in technical sales and architecture design with focus on AI services for computer vision, language / speech, bots, anomaly detection,…"
Designer 2,Microsoft,Bellevue,USA,onsite,,"You will partner with AI product PM and engineering teams to research, design, and implement these capabilities.Design, HCI degree or equivalent experience."
Product Designer - Consumer Experiences,Visa,Bellevue,USA,onsite,,"Candidates will have the opportunity to design usable, accessible and engaging user experiences for Visa's digital product line with senior-level talent…"
newStaff Product Designer,Chewy,Bellevue,USA,onsite,,"7+ years of experience as a user experience designer, interaction designer, information architect, or similar role."
newStaff Product Designer,Chewy,Bellevue,USA,onsite,,"7+ years of experience as a user experience designer, interaction designer, information architect, or similar role."
"UX Researcher, Alexa AI","Amazon Data Services, Inc.",Bellevue,USA,onsite,,"You’re a born collaborator, eager to work side-by-side with high performing multidisciplinary designers, product managers, researchers, ops coordinators, and…"
newSenior Researcher,Microsoft,Bellevue,USA,onsite,,Collaborate with world-class researchers and engineers to develop cutting-edge reinforcement learning algorithms to create innovative applications and solutions…
newSenior UX Designer,Microsoft,Bellevue,USA,onsite,,The role’s broad scope will give you ample room to flex your design muscles—both on projects that have immediate impact on the Dynamics 365 business as well in…
newSenior UX Designer,Microsoft,Bellevue,USA,onsite,,The role’s broad scope will give you ample room to flex your design muscles—both on projects that have immediate impact on the Dynamics 365 business as well in…
newAI Engineer Associate,Volkswagen Group of America,Belmont,USA,onsite,,"This role will be tasked with applying machine learning/deep learning to the automotive industry.This position should be held by a Computer Science Engineer,…"
AI Engineer,Volkswagen Group of America - Chattanooga...,Belmont,USA,onsite,,"This role will be tasked with applying machine learning/deep learning to the automotive industry.This position should be held by a Computer Science Engineer,…"
UX Designer (Multi-year contract opportunity),Volkswagen Group of America - Chattanooga...,Belmont,USA,onsite,,"Create low-fidelity wireframes and prototypes in tools (Figma, Sketch, Adobe XD, etc.).Design high-fidelity UI elements.Bachelor’s Degree in Design."
UX Designer (Multi-year contract opportunity),Volkswagen Group of America - Chattanooga...,Belmont,USA,onsite,,"Create low-fidelity wireframes and prototypes in tools (Figma, Sketch, Adobe XD, etc.).Design high-fidelity UI elements.Bachelor’s Degree in Design."
Design Engineer (FPGA),Peraton,Beltsville,USA,onsite,,Ability to lead a hardware design task.0 – 2 years’ experience with FPGA design (Verilog/VHDL code) skills are needed to implement and lead designs for flight…
newData Science Researcher,Shell,Bengaluru,India,onsite,,"As Data Science Researcher, you will work hands-on across project teams focusing on research and implementation of Data Science models on different Shell Assets…"
newSystems Modelling Researcher,Shell,Bengaluru,India,onsite,,Systems Modelling capability is a key enabler in multiscale modelling in computational science and responsible for providing critical input towards design and…
Student Intern – Access™,Altair Engineering,Bengaluru,India,onsite,,"Access provides a simple, powerful, and consistent interface for submitting and monitoring jobs on remote clusters, clouds, and other resources, allowing…"
newSIEM - Admin,IBM,Bengaluru,India,onsite,,Responsible for security researcher to provide insight and understanding of new and existing information security threats.
newUX Researcher,BeingUser,Bengaluru,India,onsite,,"User Research, Usability testing, Product and Design Research.Glance is the world’s first screen zero platform, enabling consumers to experience the best of…"
newUX Researcher,Mantra Labs,Bengaluru,India,onsite,,"Ideally, the candidate should have a minimum of a 6-year of experience in UX research and analysis of consumer-facing products."
Applied Machine Learning Researcher,Microsoft,Bengaluru,India,onsite,,MCDS Research is a shared service within MCDS that drives impact and innovation using state-of-the-art Machine Learning (ML) and strives to push the boundaries…
newResearcher High Performance Computing,Shell,Bengaluru,India,onsite,,Shell is currently assembling a technical team of extremely talented and passionate computational scientists to realize the company’s full digital potential.
newSIOC: Security and Privacy consultant,IBM,Bengaluru,India,onsite,,Collaborate with other cyber threat researchers based on subject matter expertise.Prior experience working as a cyber threat researcher or analyst.
Security Researcher,Siemens Technology and Services Private Limited,Bengaluru,India,onsite,,"You will conduct research that will yield new insights, theories, analysis, data, algorithms, and help secure the systems and software."
Research Specialist,Accenture,Bengaluru,India,onsite,,Develops structured research insights beyond the data.Is involved in writing articles / reports and/or preparation of client events/meetings.
Data Scientist,Microsoft,Bengaluru,India,onsite,,"Excellent communication skills and the ability to collaborate in a multi-disciplinary team consisting of Service Engineers, Software Engineers, Program Managers…"
Research Associate Manager,Accenture,Bengaluru,India,onsite,,Mentors more junior researchers and demonstrates ability to lead and support small project research teams.Manages projects and complex analysis independently.
DX/UX Researcher,Intel,Bengaluru,India,onsite,,"The DX Researcher will be responsible for designing and executing research to identify software developer workflows, pinpoint opportunities to fulfil unmet…"
"Pre-Doctoral Researcher, University Graduate (Fixed-Term Con...",Google,Bengaluru,India,onsite,,"As a Pre-Doctoral Researcher, you will collaborate with researchers, scientists and engineers at Google Research working on fundamental research and applied…"
Deep Learning Engineers - INTERNSHIP,Conxai Technologies GmbH,Bengaluru,India,onsite,,"We are building the first NO-CODE AI PLATFORM for the construction industry, with the 3rd generation Explainable AI, that allows users to create complex use…"
newApplication Developer: Mobile,IBM,Bengaluru,India,onsite,,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
Research Scientist,IBM,Bengaluru,India,onsite,,"As a research scientist in the area of intelligent business process automation, you will explore problems related to Enterprise AI technologies for process…"
newDirector - Innovation and Design,WELLS FARGO BANK,Bengaluru,India,onsite,,"Collaborates with researchers in academia to make bank ready for the future.Involve in idea management, rapid prototyping, startup partnership and other…"
newUser Researcher,IBM,Bengaluru,India,onsite,,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
Developer Experience Researcher,Intel,Bengaluru,India,onsite,,You must be hands-on and have the needed mix of UX skills and leadership qualities to enroll your technical colleagues in pursuing developer experience…
Data Scientist - AI Developer,SAP,Bengaluru,India,onsite,,"By exploring unconventional ideas and developing inspiring proofs of concept, we push the state of the art in computer science and its applied fields to provide…"
Associate Analyst,Vectra,Bengaluru,India,onsite,,Vectra's threat detections are powered by a deep understanding of attacker methods and problem-optimized AI algorithms.Open source development a plus.
Lead/Principle Machine Learning Engineer & Researcher,Square Root Consulting,Bengaluru,India,onsite,,"As a Data Scientist & ML Engineer you will have the responsibility of creating and leveraging the state-of-the-art algorithms in machine learning, deep learning…"
Design Researcher,IBM,Bengaluru,India,onsite,,Visualization is critical to discovering data-driven insights and effectively communicating that knowledge to others.Participate in the IBM Design Chapter.
Research Engineer,IBM,Bengaluru,India,onsite,,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
Applied ML engineer,sybill,Bengaluru,India,onsite,,"3+ years of experience as an ML engineer, data scientist, CV/NLP researcher, or in a related role.Sybill joins your calls with you and provides insights into…"
Research Software Engineer,IBM,Bengaluru,India,onsite,,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
VoIP Engineer,Skit.ai,Bengaluru,India,onsite,,"Diagnose, troubleshoot, resolve quality issues related to VoIP and telephony platforms and applications.Collaborate with the team to contribute on design and…"
Artificial Intelligence Researcher - Freshers,BigSpire Software,Bengaluru,India,onsite,,"Skill Sets: Should have a good communication skills, knowledge in AI concepts and analytical skills Qualifications: Bachelor or Masters degree in Business…"
AI Data Foundation Research Engineer,Hewlett Packard Enterprise,Bengaluru,India,onsite,,"We expect all our researchers to provide thought leadership and technical influence both internally and externally to HPE, as well as take innovative ideas and…"
Senior Threat Intelligence Analyst,ZeroFOX,Bengaluru,India,onsite,,"Using our proprietary hybrid intelligence platform, we focus on analyzing the world of threat intelligence & vulnerabilities and providing detailed analysis and…"
AI/ML Specialist / Architect,Bosch Group,Bengaluru,India,onsite,,Consumer Goods and Building Technology.The expectation is for the identified candidate to lead a group of AI/ML resources to bring the right fit methodologies…
Junior open source compiler developer,IBM,Bengaluru,India,onsite,,"Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run…"
Research Scientist - Image Analytics,GE Corporate,Bengaluru,India,onsite,,"As a group, we Innovate and execute on the R&D strategy around image analytics aligned our healthcare and industrial businesses in a broad set of areas…"
SCAI Centre Fellow,Microsoft,Bengaluru,India,onsite,,"Candidates must also be able to collaborate effectively with other researchers, product development teams and external collaborators."
Research Manager - NLP & Machine Learning,Uniphore,Bengaluru,India,onsite,,Experience managing a team of researchers spanning both applied and pure research.Manage a growing team of engineers and researchers focused on speech…
newSenior NLP Data Scientist,Shell,Bengaluru,India,onsite,,"Our team develops the advanced products and technologies Shell needs to meet customer demand.As a Senior NLP Data Scientist, you will sit across project teams…"
Technical Specialist - GAP,Altair Engineering,Bengaluru,India,onsite,,"Conduct training sessions / webinars and be a trusted advisor for universities worldwide, top notch researchers and student teams in competitions about Altair…"
"Specialist, Data Science and IoT",Altair Engineering,Bengaluru,India,onsite,,"Conduct training sessions / webinars and be a trusted advisor for universities worldwide, top notch researchers and student teams in competitions about Altair…"
Client Technology - Senior Experience Researcher,EY,Bengaluru,India,onsite,,"Owns the delivery of experience research activities to advise the user experience within a sophisticated client or internal project, presenting to and…"
Software Engineer II,Microsoft,Bengaluru,India,onsite,,We are looking for an engineer with a passion to improve the state of the art.The work involves solving low-level systems problems such as GPU state and memory…
MBOS_Data Science Engineer - Image Database,Mercedes-Benz Research and Development India...,Bengaluru,India,onsite,,"Assemble large, complex data sets that are analysis/training ready for the machine learning engineers/researchers.B.E. / B. Tech in Computer Science."
newAnalyst-Product Development,Amex,Bengaluru,India,onsite,,Amex AI Labs is currently co-located in Bangalore and New York and involves dynamic and talented product managers and researchers having research and product…
newStaff Engineer - Backend (Atlas),ThoughtSpot,Bengaluru,India,onsite,,"Work with diverse, cross-functional teams of designers, UX researchers, engineers, product managers in a fast, collaborative process."
Enterprise Data Science Engineer,Lam Research,Bengaluru,India,onsite,,"Work with machine learning engineers, researchers to accelerate AI/ML development for Industry 4.0 use-case deployment."
Research Senior Analyst,Accenture,Bengaluru,India,onsite,,"Together, we will continue to create business impact through the unique combination of Client & Market vision, AI outputs and storytelling deliverables."
Application Developer: Mobile Android,IBM,Bengaluru,India,onsite,,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
Full Stack Engineer,Balbix,Bengaluru,India,onsite,,"You will collaborate closely with our data scientists, threat researchers and network experts to solve real-world problems plaguing cybersecurity."
Head of UI/UX Design,Wells Fargo,Bengaluru,India,onsite,,"Directly managing a team of interaction designers, visual designers, content strategists/editors, UX researchers and design delivery producers."
Research Manager - Automatic Speech Recognition,Uniphore,Bengaluru,India,onsite,,Experience managing a team of researchers spanning both applied and pure research.Manage a growing team of engineers and researchers focused on speech…
"Senior Software Engineer, Compilers, Machine Learning Accele...",Google,Bengaluru,India,onsite,,Collaborate with machine learning researchers to guide compiler development for future ML trends.Bachelor’s degree or equivalent practical experience.
Senior Network Automation Researcher & Standardization Speci...,NOKIA,Bengaluru,India,onsite,,Nokia Standards is responsible for research and standardization activities related to 5G and 6G cellular networks and collaboration with internal and external…
newXFR,IBM,Bengaluru,India,onsite,,Responsible for security researcher to provide insight and understanding of new and existing information security threats.
newSenior User Experience Designer,Adobe,Bengaluru,India,onsite,,"We are designing next-generation experiences for a wide range of creatives - from illustrators to animators to brand designers and many more, empowering them in…"
newStaff Data Engineer,Babylon,Bengaluru,India,onsite,,"Act as a spokesperson for software design best practices and will advise on designing, performance/scalability tuning of batch and real time stream analytics…"
newBCAI - Senior Data Scientist,Bosch Group,Bengaluru,India,onsite,,"Some of the areas of research include software intensive systems, artificial intelligence, robotics, computer vision, human computer interaction, energy,…"
newQuality Specialist - API Automation Framework,SAP,Bengaluru,India,onsite,,"You will work together with a team of dedicated experts including researchers, business developers, developers, data scientist and dev ops engineers with the…"
Senior NLP Scientist,Uniphore,Bengaluru,India,onsite,,"3 + years of hands-on experience developing production grade NLP systems using open source technologies.Hands-on experience with NER/L, information extraction,…"
Research Scientist - Machine Learning / Research Scientist -...,GE Corporate,Bengaluru,India,onsite,,"We innovate and execute Analytics technologies that combine domain knowledge with advanced operations research, machine learning and text mining algorithms to…"
Member of Technical Staff - Frontend (MTS-3),ThoughtSpot,Bengaluru,India,onsite,,"Work with diverse, cross-functional teams of designers, UX researchers, engineers, product managers in a fast, collaborative process."
newSIEM IR,IBM,Bengaluru,India,onsite,,Responsible for security researcher to provide insight and understanding of new and existing information security threats.
Senior Designer,Microsoft,Bengaluru,India,onsite,,"In this role, you’ll design experiences for customer support agents, their managers, and their customers that solve complex interactions with elegance and…"
Software Engineering - Ph.D (Graduating Class of 2021/2022),Salesforce,Bengaluru,India,onsite,,"We are looking for applied researchers with solid computer science fundamentals, mathematical modeling, and distributed systems background to work in a team…"
Senior Engineer - Model Based Controls,GE Corporate,Bengaluru,India,onsite,,"We are looking for highly motivated people with proven track record to conduct research in control system design, real time optimization, first principles…"
Director - User Experience Design,Adobe,Bengaluru,India,onsite,,"You will lead a group of passionate and hard-working designers and managers who craft experiences across web, mobile, and desktop applications while using AI/ML…"
DigitalBCG | Platinion Engineer,Boston Consulting Group,Bengaluru,India,onsite,,"Collaborating: You have the ability and enthusiasm to work with researchers, engineers, business consultants, and other designers who will all challenge and…"
Backend Developer,Expertia Incorporation,Bengaluru,India,onsite,,You will work in a varied team of developers and will be involved in the entire development lifecycle.Experience with Python - Flask/DJango framework or NodeJS…
Head - Advanced development,Cerentral Consultants,Bengaluru,India,onsite,," Led a team of researchers for 1+ years. Take inputs from current technology trends, key customer sites and closely work with the."
"Analyst / Senior Analyst - Risk & Information Management, Da...",Amex,Bengaluru,India,onsite,,"Depending on role and business needs, colleagues will either work onsite, in a hybrid model (combination of in-office and virtual days) or fully virtually."
Technical Content Developer 3,Dell Technologies,Bengaluru,India,onsite,,"Collaborate with designers, researchers, product managers, and engineers to manage and deliver content.Ground-breaking products deserve to be accompanied by…"
Senior Cyber Security Engineer,Automation Anywhere,Bengaluru,India,onsite,,"Create ,Manage and Coordinate VDP ( Vulnerability Disclosure Program) and interfacing with other cross functional team, vendor and security researchers."
#2696-Test Engineer AI related Healthcare Solutions,Qualitest,Bengaluru,India,onsite,,Align with product owner and stakeholders to derive meaningful test scenarios and create test cases.Automate test cases and setup / maintain automated test…
Senior Member of Technical Staff - Mobile,ThoughtSpot,Bengaluru,India,onsite,,"Work with diverse, cross-functional teams of designers, UX researchers, engineers, product managers in a fast, collaborative process."
Lead Product Designer,Tekion,Bengaluru,India,onsite,,"You'll take on complex tasks and transform them into intuitive, accessible, and easy-to-use designs — from the first-time user to the sophisticated expert."
newSenior Staff Engineer - Data Modelling,ThoughtSpot,Bengaluru,India,onsite,,"Work with diverse, cross-functional teams of designers, UX researchers, engineers, product managers in a fast, collaborative process."
Deep Learning Engineers,Conxai Technologies GmbH,Bengaluru,India,onsite,"₹18,00,000 - ₹27,00,000 a year","We are building the first NO-CODE AI PLATFORM for the AEC industry, with the 3rd generation AI, that allows users to create complex use cases with zero coding…"
Associate Manager - Data Engineer,Sutherland,Bengaluru,India,onsite,,"Work on cutting edge technology, with frequent interactions with world’s leading researchers and own/run a high visibility program of Sutherland."
Director of Consumer Insight,Entropik Tech,Bengaluru,India,onsite,,Lead a team of researchers & data analysts to manage projects and deliver meaning Insights for Client engagements.
Senior Software Engineer,Microsoft,Bengaluru,India,onsite,,The Azure Machine Learning Training team is seeking experienced developers with distributed systems experience.Experimentation and model tracking using MLFlow.
Architecture Research Scientist,Intel,Bengaluru,India,onsite,,The Processor Architecture Research (PAR) Lab at Intel Labs leads corporate-wide research into futuristic processor architectures.
Senior Product Manager,Expertia Incorporation,Bengaluru,India,onsite,,Experience Required: 4 to 6 years of experience.You will also work cross-functionally to complete product roadmaps and discover new opportunities.
Staff Software Architect,GE Healthcare,Bengaluru,India,onsite,,Ability to quickly build prototypes working with Data scientists & researchers to demo the same at trade-shows & leadership.AWS Certification is a plus.
Growth and Business Development Manager,KYC Hub,Bengaluru,India,onsite,,"Our products help firms to mitigate the risk of fraud and financial crime using AI and automation.We are a SaaS platform for global customer onboarding,…"
Principal Program Manager,Microsoft,Bengaluru,India,onsite,,The Microsoft Turing team is an innovative research and engineering team working on state-of-the-art deep learning models to power end user experiences across…
Senior System Software Engineer,NVIDIA,Bengaluru,India,onsite,,"Design, develop and maintenance of pre-silicon simulation platforms.Perform software bring up on hardware simulation platform."
Principal Engineer - Falcon,ThoughtSpot,Bengaluru,India,onsite,,"Work with diverse, cross-functional teams of designers, UX researchers, engineers, product managers in a fast, collaborative process."
Senior Full Stack Developer,Expertia Incorporation,Bengaluru,India,onsite,,"Experience Required: 4 to 6 years of experience.As a Full Stack Developer, you will have a key role in our development of new and existing products."
Technical Expert: Deep Learning & Collective Intelligence,Siemens Technology and Services Private Limited,Bengaluru,India,onsite,,"We are central research and development unit, Corporate Technology (CT) are a strategic partner to Siemens’ operative units and provide important services along…"
Senior Product Designer,Tekion,Bengaluru,India,onsite,,"You'll take on complex tasks and transform them into intuitive, accessible, and easy-to-use designs — from the first-time user to the sophisticated expert."
UX Manager,Zycus,Bengaluru,India,onsite,,"Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
Technical Project Manager,Exigent Group Limited,Bengaluru,India,onsite,,"Develop and maintain partnerships with outside resources—including third-party vendors and researchers.As an ideal candidate, you have proven experience in a…"
Application Developer: Mobile iOS,IBM,Bengaluru,India,onsite,,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
Design Lead - Samya.ai,Fractal.ai,Bengaluru,India,onsite,,"Samya is a term that means ""bringing things to equilibrium"".Our team combines strengths from various disciplines, including Product Development, R&D, AI/ML,…"
DigitalBCG | Platinion Principal Engineer,Boston Consulting Group,Bengaluru,India,onsite,,"Collaborating: You have the ability and enthusiasm to work with researchers, engineers, business consultants, and other designers who will all challenge and…"
Senior Systems Specialist-Controls Engineering,Cytiva,Bengaluru,India,onsite,,"As a member of a multidisciplinary project team, the Senior Systems Specialist will lead the design, development, programming, verification, and delivery of…"
Senior Staff Software Architect,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Product Design Lead,Zycus,Bengaluru,India,onsite,"₹30,00,000 - ₹40,00,000 a year","Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
"Software Developer (Angular, Java Script, Java)",Recruitrix,Bengaluru,India,onsite,"₹14,00,000 - ₹16,00,000 a year","A team of AI Engineers and researchers who innovate, develop, and deploy state-of-the-art methods and solutions leveraging technologies likes Machine Learning,…"
BCAI - Senior Data Engineer,Bosch Group,Bengaluru,India,onsite,,"Some of the areas of research include software intensive systems, artificial intelligence, robotics, computer vision, human computer interaction, energy,…"
Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Principal Engineering Manager,Microsoft,Bengaluru,India,onsite,,The Azure Machine Learning Training team is seeking experienced Engineering with distributed systems experience and experience hiring and managing a high…
Senior UI/UX Designer,Product,Bengaluru,India,onsite,,Has worked with (or as) UX researchers conducting user surveys & close looping user feedback.Wadhwani Venture Fastrack: Maximizes success rates of early-stage…
Senior Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
UX Manager,Zycus,Bengaluru,India,onsite,,"Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
Technical Project Manager,Exigent Group Limited,Bengaluru,India,onsite,,"Develop and maintain partnerships with outside resources—including third-party vendors and researchers.As an ideal candidate, you have proven experience in a…"
Application Developer: Mobile iOS,IBM,Bengaluru,India,onsite,,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
Design Lead - Samya.ai,Fractal.ai,Bengaluru,India,onsite,,"Samya is a term that means ""bringing things to equilibrium"".Our team combines strengths from various disciplines, including Product Development, R&D, AI/ML,…"
DigitalBCG | Platinion Principal Engineer,Boston Consulting Group,Bengaluru,India,onsite,,"Collaborating: You have the ability and enthusiasm to work with researchers, engineers, business consultants, and other designers who will all challenge and…"
Senior Systems Specialist-Controls Engineering,Cytiva,Bengaluru,India,onsite,,"As a member of a multidisciplinary project team, the Senior Systems Specialist will lead the design, development, programming, verification, and delivery of…"
Senior Staff Software Architect,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Product Design Lead,Zycus,Bengaluru,India,onsite,,"Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
"Software Developer (Angular, Java Script, Java)",Recruitrix,Bengaluru,India,onsite,,"A team of AI Engineers and researchers who innovate, develop, and deploy state-of-the-art methods and solutions leveraging technologies likes Machine Learning,…"
BCAI - Senior Data Engineer,Bosch Group,Bengaluru,India,onsite,,"Some of the areas of research include software intensive systems, artificial intelligence, robotics, computer vision, human computer interaction, energy,…"
Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Principal Engineering Manager,Microsoft,Bengaluru,India,onsite,,The Azure Machine Learning Training team is seeking experienced Engineering with distributed systems experience and experience hiring and managing a high…
Senior UI/UX Designer,Product,Bengaluru,India,onsite,,Has worked with (or as) UX researchers conducting user surveys & close looping user feedback.Wadhwani Venture Fastrack: Maximizes success rates of early-stage…
Senior Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
UX Manager,Zycus,Bengaluru,India,onsite,"₹30,00,000 - ₹40,00,000 a year","Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
Technical Project Manager,Exigent Group Limited,Bengaluru,India,onsite,,"Develop and maintain partnerships with outside resources—including third-party vendors and researchers.As an ideal candidate, you have proven experience in a…"
Application Developer: Mobile iOS,IBM,Bengaluru,India,onsite,,"Collaborate with researchers, engineers and product managers throughout design process - from creating research protocols, personas, scenarios, information…"
Design Lead - Samya.ai,Fractal.ai,Bengaluru,India,onsite,,"Samya is a term that means ""bringing things to equilibrium"".Our team combines strengths from various disciplines, including Product Development, R&D, AI/ML,…"
DigitalBCG | Platinion Principal Engineer,Boston Consulting Group,Bengaluru,India,onsite,,"Collaborating: You have the ability and enthusiasm to work with researchers, engineers, business consultants, and other designers who will all challenge and…"
Senior Systems Specialist-Controls Engineering,Cytiva,Bengaluru,India,onsite,,"As a member of a multidisciplinary project team, the Senior Systems Specialist will lead the design, development, programming, verification, and delivery of…"
Senior Staff Software Architect,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Product Design Lead,Zycus,Bengaluru,India,onsite,"₹30,00,000 - ₹40,00,000 a year","Experience leading, mentoring and managing/developing a team of UI/UX designers and researchers.This role includes all the critical aspects of UX function -…"
"Software Developer (Angular, Java Script, Java)",Recruitrix,Bengaluru,India,onsite,"₹14,00,000 - ₹16,00,000 a year","A team of AI Engineers and researchers who innovate, develop, and deploy state-of-the-art methods and solutions leveraging technologies likes Machine Learning,…"
BCAI - Senior Data Engineer,Bosch Group,Bengaluru,India,onsite,,"Some of the areas of research include software intensive systems, artificial intelligence, robotics, computer vision, human computer interaction, energy,…"
Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Principal Engineering Manager,Microsoft,Bengaluru,India,onsite,,The Azure Machine Learning Training team is seeking experienced Engineering with distributed systems experience and experience hiring and managing a high…
Senior UI/UX Designer,Product,Bengaluru,India,onsite,,Has worked with (or as) UX researchers conducting user surveys & close looping user feedback.Wadhwani Venture Fastrack: Maximizes success rates of early-stage…
Senior Staff Software Engineer,GE Corporate,Bengaluru,India,onsite,,Working on digital solutions along with other researchers and product teams of businesses.We are looking to grow our team of Software researchers who dabble…
Conversational AI Designer,Uniphore,Bengaluru,India,onsite,,Experience creating multiple demos or prototypes showcasing the bleeding edge capabilities of conversational design.Write effective and natural dialogues.
Senior Product Manager - Conversational AI,Walmart Global Tech India,Bengaluru,India,onsite,,"Previous experience with chatbots, conversational AI, data science, natural language processing (NLP), or natural language understanding (NLU) is a plus."
"AI Consultant, Google Cloud Professional Services",Google,Bengaluru,India,onsite,,"Experience in a statistical programming language like R or Python and applied machine learning techniques (e.g., dimensionality reduction strategies,…"
D&AM- Predictive Modeling / AI - ML-LSA/SSA,Deloitte,Bengaluru,India,onsite,,Certification in SAS or SQL Server or Other relational databases or big data platforms.Develop business and industry knowledge in one or more industries.
newTalent Acquisition Specialist,Interactions,Bengaluru,India,onsite,,"In doing this via our conversational AI engine, our customers benefit from dramatically improved customer experience and increased customer engagement, while…"
AI Consultant,Wells Fargo,Bengaluru,India,onsite,,"Bachelors or Master's degree in business, economics or quantitative fields like computer science and engineering or equivalent."
AI/ML Developer,EY,Bengaluru,India,onsite,,"Presents insights and trends for product and/or pricing changes or improvements.Deep learning, natural language processing and generation and Mathematics,…"
Technical Architect_ Conversational AI,Quantiphi Analytics,Bengaluru,India,onsite,,"Strong understanding of the NLP space (natural language understanding, sentiment analysis, personality insight etc.), conversational interfaces, and leveraging…"
AI/ML Engineer,EY,Bengaluru,India,onsite,,"MS or PhD in CS, EE or related disciplines.You’ll dive into natural language, time series and image data no one has ever examined before."
Digital_Associate 2_Data Science_Bangalore,PwC,Bengaluru,India,onsite,,"Desired Languages (If blank, desired languages not specified).Education (if blank, degree and/or field of study not specified)."
"CRL2.0 EY GDS - IA- Process Mining (Celonis, ProcessGold)",EY,Bengaluru,India,onsite,,Js/Java or web technologies will be added advantage.Working knowledge in excel and macrosknowledge of any automation process or techniques.
newAnalyst-Data Science,Accenture,Bengaluru,India,onsite,,"You may have limited exposure with clients and/or Accenture management.You will be required to utilize the existing frameworks, standards, patterns to create…"
Software Engineer 2,Microsoft,Bengaluru,India,onsite,,Undergraduate or Graduate degree in Computer Science or related Engineering discipline.Experience with complex single page applications using React or Angular.
Customer Service Executive (US Accent),Skit.ai,Bengaluru,India,onsite,,"Details of the type of employment you are or may be looking for, current and/or desired salary and other terms relating to compensation and benefits packages,…"
Customer Service Executive (US Accent),Skit.ai,Bengaluru,India,onsite,,"Details of the type of employment you are or may be looking for, current and/or desired salary and other terms relating to compensation and benefits packages,…"
A&A -Data Scientist - AI POD,Deloitte,Bengaluru,India,onsite,,You should also possess a proven track record of delivering & managing multiple Data Science projects through its complete lifecycle starting from defining the…
Customer Support Engineer,Purplegrids,Bengaluru,India,onsite,,Proven customer service skills with attention to detail.Impeccable follow-through and commitment to quality customer service.Graduate in Masters/Bachelor’s.
Senior Content Designer,Intuit,Bengaluru,India,onsite,,"Transform complex accounting jargon into conversational, approachable language.5+ years of experience in content design, content strategy, or related field."
CN - Strategy - MC - High Tech - Semiconductor - 09,Accenture,Bengaluru,India,onsite,,Basic understanding of robotics operating system .ROS. robotic programming on Fanuc KUKA ABB or equivalent brands • Knowledge of industrial controls like PLC or…
Content Designer II,Expedia Group,Bengaluru,India,onsite,,At least 2-4 years related professional experience as a content designer or content strategist.Bachelor's degree in a related field; or equivalent related…
