title,company,location,country,working model,salary,summary
Cloud AI Algorithm Researcher,Xilinx,Beijing,China,onsite,,you to take a look... opportunities available to come join our team. Job Responsibilities...
15851-Game AI Development Researcher (Beijing),Tencent Holdings Limited,Beijing,China,onsite,,"computer science, mathematics, speech processing or AI fields Proficient... least one programming..."
Reinforcement Learning Researcher - Gaming AI,Byte Dance,Beijing,China,onsite,,papers at ICML/NIPS/IJCAI/AAAI/ICLR and other top international conferences are preferred 5. Game AI...
AI Lab Researcher,Byte Dance,Beijing,China,onsite,,"accumulation in one... following fields... main author published ICML, NIPS, KDD, ACL..."
Senior UX Researcher,Microsoft,Beijing,China,onsite,,"Design Researcher. At Studio 8 we... Suzhou... Senior Design Researcher on our team, you will help..."
Post Doc Researcher – Theory – Microsoft Research Asia,Microsoft,Beijing,China,onsite,,researcher at MSR Asia. Post-doc researchers are expected to work closely with other researcher...
"AI/ML-Machine Learning/AI Engineering & Research Intern, Sir...",Apple,Beijing,China,onsite,,position of AI/ML Engineer and AI/ML Researcher... Global... Apple to transfer AI/ML solutions...
Computer Vision Algorithm Researcher,Byte Dance,Beijing,China,onsite,,"department. It aims to provide... 1. Have research experience in AI, computer vision, deep learning..."
Video Codec Standards Researcher- Multimedia Lab,Byte Dance,Beijing,China,onsite,,"video coding, AI/learning based... ain understanding of modules and algorithms 4. Familiar with AI..."
Research Associate – Technology,UBS,Beijing,China,onsite,,build and maintain relationships... Contact Details UBS Recruiting China Disclaimer / Policy...
Machine Learning Engineer,Graphcore,Beijing,China,onsite,,"limited training process... training, inference performance testing tools Build training..."
Senior Design Researcher,Microsoft,Beijing,China,onsite,,"Design Researcher. At Studio 8 we... Suzhou... Senior Design Researcher on our team, you will help..."
西有派计划 Siemens Technology Fullstack/Computer Vision/Linux Res...,Siemens,Beijing,China,onsite,,"PhD graduates from all over the world, including AI, edge computing, digital twins, industry 4.0..."
最新Cloud Software Engineer,Graphcore,Beijing,China,onsite,,"medical researcher, roboticist... main components and lifecycle of cloud AI applications Experience..."
Lead Software Engineer - Forecasting (Ad Intelligence),Hulu,Beijing,China,onsite,,"real time campaign booking, reporting, pricing and offline analytics Collaborate with researcher..."
Language Researcher / Data Analyst - Simplified Chinese,TransPerfect Translations Inc.,Beijing,China,onsite,,descriptions and labels. Main Responsibilities: - Analyzing... technology and AI. - Excellent...
15851-Game AI Development Researcher (Beijing),Tencent Holdings Limited,Beijing,China,onsite,,"computer science, mathematics, speech processing or AI fields Proficient... least one programming..."
Reinforcement Learning Researcher - Gaming AI,Byte Dance,Beijing,China,onsite,,papers at ICML/NIPS/IJCAI/AAAI/ICLR and other top international conferences are preferred 5. Game AI...
AI Lab Researcher,Byte Dance,Beijing,China,onsite,,"accumulation in one... following fields... main author published ICML, NIPS, KDD, ACL..."
Senior UX Researcher,Microsoft,Beijing,China,onsite,,"Design Researcher. At Studio 8 we... Suzhou... Senior Design Researcher on our team, you will help..."
Post Doc Researcher – Theory – Microsoft Research Asia,Microsoft,Beijing,China,onsite,,researcher at MSR Asia. Post-doc researchers are expected to work closely with other researcher...
"AI/ML-Machine Learning/AI Engineering & Research Intern, Sir...",Apple,Beijing,China,onsite,,position of AI/ML Engineer and AI/ML Researcher... Global... Apple to transfer AI/ML solutions...
Computer Vision Algorithm Researcher,Byte Dance,Beijing,China,onsite,,"department. It aims to provide... 1. Have research experience in AI, computer vision, deep learning..."
