,title,company,salary,summary
36,FP&A Associate,Bowery Farming,,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
37,Product Manager (AI),Apple,,"You will need to understand the world of optimization systems development and data driven product management, orchestrate a product plan and schedule, then…"
38,"Data Scientist, Machine Learning - Search",Quizlet,,"As a ML Data Scientist working on search and recommendations, you will help match students to relevant content, among our corpus of 500M+ study guides and…"
39,newData Scientist,Nautilus Labs,,"For owner-operators, reliance on manually collected and analyzed data makes it difficult to optimize fleet performance in real-time."
40,"Program Manager, AI",Facebook App,,"Our work covers the full spectrum of topics related to AI, including deriving knowledge from data: Theory, algorithms, applications, software infrastructure and…"
41,Senior Vice President of Farm Operations,Bowery Farming,,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
42,"Transportation or Regional Sales - IoT, AI",Verizon,,"You will be supporting the new business, product, and technical capability inside NBI, which will leverage Verizon’s 5G network and Intelligent Edge Network …"
43,AI UAT Coordinator / AfroTech,Wells Fargo,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…"
44,"PR Manager, Alexa AI",Amazon.com Services LLC,,"5 + years of public relations experience, including experience pitching proactive stories - thought leadership and product - to technology and business…"
45,"Data Scientist, Machine Learning - Search",Quizlet,,"As a ML Data Scientist working on search and recommendations, you will help match students to relevant content, among our corpus of 500M+ study guides and…"
46,AI UAT Coordinator / AfroTech,Wells Fargo,,"The investments we are making will help the company create innovative digital banking experiences, and make it easier for customers to achieve their financial…"
47,newDirector| Barclays Strategy,Barclays,,"Partnering with our senior executives to develop and articulate Group wide and business unit strategies, including market entry, new product development and…"
48,Senior Vice President of Farm Operations,Bowery Farming,,"At the heart of each farm is the proprietary BoweryOS, which integrates software, hardware, sensors, AI, computer vision systems, machine learning models and…"
49,An LGBTQ+ Recruiting Summit with AI & Tech Leaders,"JPMorgan Chase Bank, N.A.",,Requirements may change in the future with the evolving public health landscape.JPMorgan Chase will consider accommodation requests.
