,title,company,location,salary,summary
49,Senior Design Technologist (Remote USA),,"Remote in Boston, MA",,"Do you love writing code, but also love design?Do you enjoy deep customer research and understanding users' needs, emotions, and behaviors to inform experience…"
50,Senior Marketing Technologist,,"Boston, MA 02108 (Back Bay-Beacon Hill area)",,Do you have a passion for marketing?Do you have the desire to lead and innovate in the latest marketing technology?What You Will be Doing.
51,Creative Technologist - Wayfair Next,,"Boston, MA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.An understanding of the creative / prototyping process and a nimbleness in…"
52,Design Technologist,,"Boston, MA 02210 (South Boston area)",,"Seek out new opportunities and be a creative thinker.Payette, based in downtown Boston, is a leading architectural design firm specializing in the programming,…"
53,Educational Technologist,,"Boston, MA",,"Facilitate the sharing of new learning, instructional techniques, and instructional technologies, including emerging technologies in creative and collaborative…"
54,newMarketing Technologist,,"Boston, MA 02108 (Back Bay-Beacon Hill area)",,Manage technical set up for dynamic creative optimization systems to deliver atomic creative.3-5+ years relevant marketing technologist experience.
55,Senior Design Technologist (Remote USA),,"Remote in Boston, MA",,"You will work closely with project managers, engineers as well as the design team to meticulously deliver ideas into production.You will be responsible for."
56,Senior Marketing Technologist,,"Boston, MA 02108 (Back Bay-Beacon Hill area)",,This person will leverage their technical expertise and a strategic mindset to be successful on the role.Delivering insights from data sets in digital/media…
57,Creative Technologist - Wayfair Next,,"Boston, MA",,"Not just an engineering and creative mindset, but an entrepreneurial mindset.Participate in the tech & creative community by publishing blogs/papers,…"
58,Design Technologist,,"Boston, MA 02210 (South Boston area)",,"Seek out new opportunities and be a creative thinker.Payette, based in downtown Boston, is a leading architectural design firm specializing in the programming,…"
59,Educational Technologist,,"Boston, MA",,"Facilitate the sharing of new learning, instructional techniques, and instructional technologies, including emerging technologies in creative and collaborative…"
