,title,company,location,salary,summary
112,"Junior Web Designer, Research Projects",The Heritage Foundation,"Washington, DC 20004 (Penn Quarter area)",,"Reports to: Director, Research Editors Job Summary: The Junior Web Designer, Research Projects, assists in providing creative and technical web and data…"
113,"Associate, Digital Product Designer",KPMG,"McLean, VA 22102",,We are The Lighthouse within KPMG's Consulting practice. We tap into the power of emerging technologies and scientific breakthroughs to create solutions and…
114,Journeyman Graphic Designer,Leidos,"Bethesda, MD 20889",,Description Job Description: ·Job Description: The Intelligence and Homeland Security Group of Leidos is seeking a Journeyman Graphic Designer to support an…
115,User Experience Designer,Fjord,"Washington, DC",,"We Are: Accenture Federal Services (AFS), helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some…"
116,Visual Designer,agencyQ,"Bethesda, MD 20814 (Bethesda Center area)",,*About the Company* AgencyQ is the champion of the human experience through digital transformation. Our award-winning team of collaboration-minded digital…
117,Visual Designer,Fjord,"Washington, DC",,"We Are: Accenture Federal Services (AFS), helping our federal clients tackle their toughest challenges while unleashing their fullest potential…and then some…"
118,Lead UX Designer,Somo,"Washington, DC+1 location",,"We’re an award winning digital agency who thrive on delivering only the best digital experiences to our clients, and every member of our team has helped to…"
119,"Human Centered Design Strategist, Senior",Booz Allen Hamilton,"Arlington, VA+1 location",,"Key Role: Explore all aspects of a customer's experience, establishing a complete understanding of their needs and preferences through a variety of tools and…"
120,Senior Web Designer - Remote,ICF,"Remote in Fairfax, VA 22031",,"Be comfortable collaborating with writers, editors, motion graphics designers, UX designers, and front-end and back-end developers.Coding HTML email is a plus."
121,Senior UX/UI Designer,Hill+Knowlton Strategies,"Remote in Washington, DC 20036",,"A design specialist with a UX/UI focus Collaborating with other designers, web developers, researchers, creative strategists, copywriters and behavioral…"
122,UI/UX Designer,Booz Allen Hamilton,"McLean, VA 22102",,"In this role, you’ll work closely with the product manager on your team to understand your clients’ vision and their users’ needs."
123,"Dir., UX Design & Research, PXT Central Science",Amazon.com Services LLC,"Arlington, VA",,"Proven history of Product Design leadership with an emphasis on conceptual, visual, interaction design and strategic thinking."
124,"Senior Associate, Graphic Designer",KPMG,"Washington, DC 20006 (Dupont Circle area)+2 locations",,"Develops high-level creative and complex design materials for KPMG.Directs art and design projects from concept through production, including the coordination…"
125,User Experience (UX) Architect - Remote,Aleut Federal,"Remote in Rockville, MD 20852",,"Work on designs and mockups, or provide guidance to visual designers based on your UX analyses.Work directly with the program team, including developers, QA…"
126,Senior Visual Designer @ Fjord,Accenture,"Arlington, VA",,"Our designers identify user needs, interpret client challenges, and develop concepts that unify our products and services."
127,"Director, UX Design & Research",Finra,"Rockville, MD 20850",,This team is part of a multi-disciplinary organization responsible for designing and delivering state-of-the art products across the financial regulatory…
128,UX Designer,Applied Information Sciences,"Remote in Reston, VA 20191",,"As an UX Designer, you will be working with our development teams and clients to define, test, plan, and build complex applications through iterative research…"
129,Web UX/UI Designer,"Armedia, LLC","Vienna, VA 22182",,Armedia is a technology company with 18 years of experience.We are a CMMI Level 3 systems integrator providing complete system development and integration…
130,"Senior UX Designer, Senior Consultant",Guidehouse,"Remote in Washington, DC 20006",,"Mentor and provide feedback to other designers, with a focus on delivering high quality solutions for clients.A minimum of 5+ years of experience in UX design."
131,User Experience (UX) Designer - Senior,Acuity INC,"Remote in Crystal City, VA 22202",,You'll work across multiple product teams to deliver innovative experiences that our customer relies upon.Provide strategic recommendations that consider the…
132,Web Designer,Parsons,"Springfield, VA 22150",,The CIO-T/TF/TFD requires Web Design Specialist (UX) Level 4 support to the AWP program.The contractor shall provide services to develop overall layout and…
133,UX/UI/INFORMATION ARCHITECT,Cella,"Rockville, MD",,"They offer several health insurance options to their employees, as well as competitive Roth 401k programs and bonus structures."
134,newMultimedia Designer,Gallaudet University Hearing and Speech Clinic,"Hybrid remote in Washington, DC+1 location",,"Reporting to the Associate Director of Marketing, the Multimedia Designer supports the production of visual and video content output by Gallaudet University;…"
135,wavespace - Experience Designer - Government and Public Sect...,EY,"Washington, DC 20005 (Logan Circle area)",,"That is, you should feel comfortable talking to other business stakeholders, UX and visual designers as well as technologists and developers."
136,Senior Product Designer,"Aveshka, Inc.","Washington, DC 20001 (Shaw area)",,As a Product Designer you will be coaching government product designers in user-centered design and lean UX methodologies and approaches and working with…
137,Visual Designer,agencyQ,"Bethesda, MD 20814 (Bethesda Center area)",,"2+ years of experience as a visual designer.Partners with internal teams of UX designers, visual designers, front- and back-end developers to scope designs,…"
138,"Senior Designer, Product Design",SiriusXM,"Washington, DC 20001 (Shaw area)+2 locations",,"6-9+ years of experience as a digital designer.Mentor interns, junior and mid-level designers as needed.No matter their individual role, each of our employees…"
139,User Experience Designer and Process Developer,Mainstreet Bank,"Fairfax, VA 22030",,The primary focus of this role is to identify gaps and employee and customer experiences and leverage new and existing resources to close those gaps resulting…
140,"Senior UX Designer, Senior Consultant",Guidehouse,"Remote in Washington, DC 20006",,"Mentor and provide feedback to other designers, with a focus on delivering high quality solutions for clients.A minimum of 5+ years of experience in UX design."
141,UX Architect,Wicked Reports,"Remote in Washington, DC",,"Leads interaction of user experience for web based interface; performs analysis and conceptualization of proposed projects, utilizing professional experience in…"
142,UX Designer Sr. - Product Management,Volkswagen Group of America - Chattanooga...,"Hybrid remote in Herndon, VA",,"The Senior UX Designer - Product Management position will be based in Herndon, VA with a role classification of Hybrid Remote.Master’s degree in related field."
143,newUX Designer,GridPoint,"Reston, VA 20190 (Sunset Hills area)",,GridPoint’s Product Design team is built to ensure that our products showcase a deep empathy for our customers.
144,UX/UI/INFORMATION ARCHITECT,Cella,"Rockville, MD",,"They offer several health insurance options to their employees, as well as competitive Roth 401k programs and bonus structures."
145,Senior Product Designer (Remote-US Based),Aquicore,"Remote in Washington, DC",,"Guide and mentor product designers.Experience helping lead and mentor designers.Own the end-to-end user experience, design exploration and execution for a key…"
146,"Web Designer and Front End Developer, Mid",Booz Allen Hamilton,"Chantilly, VA 20151+2 locations",,"You’ll work with UI/UX designers and back-end developers to create a seamless user experience using tools like React, Angular, or Ember."
147,"Director, UX Design & Research",Finra,"Rockville, MD 20850",,This team is part of a multi-disciplinary organization responsible for designing and delivering state-of-the art products across the financial regulatory…
148,Senior Visual Designer @ Fjord,Accenture,"Arlington, VA",,"Our designers identify user needs, interpret client challenges, and develop concepts that unify our products and services."
149,User Experience (UX) Architect - Remote,Aleut Federal,"Remote in Rockville, MD 20852",,"Work on designs and mockups, or provide guidance to visual designers based on your UX analyses.Work directly with the program team, including developers, QA…"
