,title,company,location,salary,summary
138,newSenior UX Designer,Designit,"Remote in Seattle, WA 98101",,"You will lead the UX practice for an existing mapping tool, setting the direction for rounds of product iteration, conducting research and exploration to…"
139,Mobile UI Designer - Open Location,Deloitte,"Seattle, WA 98104 (Downtown area)+2 locations",,"Collaborate with other groups like developers, engagement managers and UX designers to deliver high-quality creative for both internal and client-facing…"
140,Instructional Designer (Contract),RUN Studios,"Seattle, WA 98101 (Downtown area)",,"With deep roots in video production and motion design, RUN Studios creates media across all channels, and serves as a strategic resourcing partner to build…"
141,Senior UX Designer,Samsung Electronics,"Bellevue, WA 98007 (Eastgate area)",,"Lead a couple of designers.In the role, the candidate will own the UX design aspect of a product development.End-to-end product design on iOS and Android."
142,"Senior Manager, UX Design Excellence & Ops *Seattle",Lululemon,"Hybrid remote in Seattle, WA",,"Lead a team of ∼6 direct reports initially - design system designers, native app specialty designers, and a Senior UX Producer."
143,Senior Interaction Designer,Stryker,"Redmond, WA",,"As a senior interaction designer, you will be an advocate for the end user of our products, partnering closely with industrial design, human factors, marketing,…"
144,Sr. UX Designer - AWS Observability,"Amazon Dev Center U.S., Inc.","Seattle, WA",,"Throughout the strategy, design, and development lifecycle, you will work collaboratively with engineers, product managers and executives while acting as a…"
145,Interaction Designer,Teague,"Temporarily Remote in Seattle, WA 98101+1 location",,"The interaction designer thrives on identifying opportunities and generating solutions for people navigating information, technology, and communication."
146,"Manager, Product Design - Seattle Remote (14818)",Getty Images,"Remote in Seattle, WA 98103",,"Manage and develop a team of designers and writers, including: managing project loads and allocating work accordingly, ensuring deadlines are met and setting up…"
147,"Senior Visual Designer, Brand Marketing",Rad Power Bikes,"Seattle, WA 98107 (Ballard area)",,"Demonstrate compelling visual storytelling through graphic design (typography, composition, layout) across digital platforms to OOH."
148,UI/UX Designer,Knackshops Inc,"Seattle, WA 98108 (Georgetown area)",,"This role is responsible for conceiving and conducting user research, interviews and surveys, and translating them into sitemaps, user flows, customer journey…"
149,"Product Designer, Storefront",Wayfair,"Seattle, WA 98178 (Rainier Beach area)+10 locations",,"Collaborate with product managers, developers, content strategists, user researchers, and other experience designers to execute design concepts that deliver on…"
