,title,company,location,salary,summary
43,"Senior UX Designer, Retail Platform - Remote",Nordstrom Inc,"Remote in Chicago, IL",,"As Senior UX designer, you’ll be responsible for turning employee problems into intuitive, beautiful, data-driven solutions.You own this if you have..."
44,UX Designer,Casechek,"Chicago, IL",,"You will collaborate our UX lead, product and engineering to utilize the latest user research, synthesis, and validation techniques to define a results-driven…"
45,"UX Designer, Digital User Experience - Opportunity for Worki...",VMware,"Remote in Chicago, IL",,"Meet your immediate team and cross-functional partners,.Get familiar with the tools and processes the design team leverages in day-to-day operations,."
46,"Senior UX Designer, Retail Platform - Remote",Nordstrom Inc,"Remote in Chicago, IL",,"As Senior UX designer, you’ll be responsible for turning employee problems into intuitive, beautiful, data-driven solutions.You own this if you have..."
47,UX Designer,Casechek,"Chicago, IL",,"You will collaborate our UX lead, product and engineering to utilize the latest user research, synthesis, and validation techniques to define a results-driven…"
48,Creative Designer - Design Systems,Alight,"Chicago, IL 60601 (Loop area)",,"You’re a persuasive designer who inspires and consistently produces outstanding, award-winning design competitors copy.Design sprint support experience a plus."
49,Product Designer - UX,Hitachi Solutions Ltd,"Chicago, IL 60606 (The Loop area)",,"Skilled UX designer experienced in both B2B and B2C applications.As their trusted advisor, we support our clients to deliver on their strategic business…"
50,Product Designer,"Grubhub Holdings, Inc.","Chicago, IL 60602 (The Loop area)+1 location",,"A passion for sharing design strategies with fellow designers, product managers, and engineers to deliver a better, more user-centered products."
51,"Curriculum Designer, Spanish Language Arts",Chicago Public Schools,"Chicago, IL 60602 (The Loop area)+1 location",,"Once implemented, this digital curriculum will provide CPS students and teachers with access to high-quality, engaging, and culturally-responsive learning…"
52,newPrincipal Visual Designer (Freelance),IA Collaborative,"Remote in Chicago, IL 60604",,"You'll be a part of an IA Collaborative multi-disciplinary team of researchers, designers, and strategists and contribute to presentation design, framework…"
53,Content Designer,Facebook App,"Chicago, IL+3 locations",,"You’ll be expected to design and deliver product flows, new features, in-product messaging, content frameworks, navigation, product naming and more for all…"
54,Lead UX/UI Designer,Caterpillar,"Chicago, IL 60622 (West Town area)",,"Have the ability to actively and constantly collaborate with other employees including product owners, designers, web and mobile engineers, quality-assurance…"
55,Product Designer — Digital IDs,PayPal,"Chicago, IL 60654 (Loop area)+1 location",,"Create high-quality deliverables on a work stream with some oversight and guidance from a senior designer, within timelines and project requirements."
56,newUX Writer/Content Designer,Thrivent,"Remote in Chicago, IL",,"With UI/UX designers, wireframe new experiences to gather content requirements.Write UI copy and UX content to create, simplify, and/or enhance user…"
57,newintelliflo - Design Product Manager (UI/UX),Invesco,"Chicago, IL 60601 (Loop area)",,"The team is responsible for ideation, research, strategy, definition and design to determine how best to meet user needs and evolve and enhance the intelliflo…"
58,Product Designer,Allscripts,"Chicago, IL",,"Work with other designers, product managers, and technologists to analyze business requirements and design solutions that respond to user needs."
59,UX Designer Specialist,World Relief,"Chicago, IL",,"The results-driven, self-starter will help create and implement user-focused, innovative digital experience for donors and World Relief’s digital audience."
60,UX Designer - Agile,Alliant Credit Union,"Chicago, IL 60666 (O'Hare International Airport area)",,You will be the hands-on person responsible for designing the best possible digital experience for Alliant Credit Union members in our digital channels.
61,UI Designer,Hearst Media Services,"Chicago, IL 60607 (Near West Side area)",,"They should be familiar with working collaboratively, taking direction from directors and stakeholders, interfacing with developers, UX designers and working…"
62,Senior Visual Designer,Northern Trust Corp.,"Chicago, IL 60603 (The Loop area)",,"We are looking for a Senior Visual Designer to support a wide variety of digital design requests.Reporting to Visual Design Team Lead, this role will work…"
63,Senior UX Designer,John Deere,"Hybrid remote in Chicago, IL",,"Ability to coach and mentor other UX designers.As a Sr. UX Designer for (John Deere) located in Chicago, IL, you will partner with product managers, product…"
64,"newLead, UX Design",Grainger,"Chicago, IL 60603 (Loop area)",,"The Lead User Experience Designer uses interaction design and data visualization skills to translate complex data into simple, intuitive experiences that allow…"
65,Senior Product Designer,Provi,"Chicago, IL",,"We are looking for a “full-stack” designer who has experience working on all parts of the design process.As a Senior Product Designer at Provi, you will be…"
66,newSenior Experience Designer,Accenture,"Chicago, IL",,"Comfortable working as a solo-designer, team member, or team lead.You inspire confidence immediately with a client and are brought in for more challenging or…"
67,Extra Help Marketing Associate (Digital/UI Designer)- Office...,University of Illinois at Chicago,"Chicago, IL 60607 (University Village - Little Italy area)",,Serve as the lead visual designer for digital marketing needs.We currently seek a talented and experienced digital designer who will help the University meet…
68,Sr. Product Designer,CommerceHub,"Remote in Chicago, IL",,We are looking for seasoned product designers that enjoy being given ambiguous problems and excel in finding innovative solutions.A 6% 401(k) match.
69,Senior Product Designer,Science 37,"Remote in Chicago, IL",,"Mentor fellow designers, helping them to think more critically and strategically and improve their craft.The *Senior Product Designer* (UX) drives creative…"
70,"newSr. Manager, UX Designer",Charles Schwab,"Hybrid remote in Chicago, IL",,This role will support our exciting best-in-class active trading group.Charles Schwab User Experience and Design is responsible for software design across…
71,newSenior UX Designer,Grainger,"Chicago, IL 60603 (Loop area)",,The Senior User Experience Designer uses both interaction design and research skills to design Grainger's internal tools – a suite of custom enterprise tools…
72,"newDirector, UX Design",Grainger,"Chicago, IL 60603 (Loop area)",,"This role will report to the Sr. Director, User Experience.The Director, UX Design is a hands-on UX role that uses both user research and interaction design…"
73,Lead Product Designer – Benefits,League Inc,"Remote in Chicago, IL+1 location",,"As a design lead, you are primarily responsible for helping designers create high-quality work while designing meaningful growth paths."
74,UX Researcher & Designer,Willis Towers Watson,"Remote in Chicago, IL",,This role with be working across our Talent & Reward product portfolio to research and discover opportunities for cross-product solutions that bring value to…
75,Sr. Product Designer,CommerceHub,"Remote in Chicago, IL",,We are looking for seasoned product designers that enjoy being given ambiguous problems and excel in finding innovative solutions.A 6% 401(k) match.
76,Senior Product Designer,Science 37,"Remote in Chicago, IL",,"Mentor fellow designers, helping them to think more critically and strategically and improve their craft.The *Senior Product Designer* (UX) drives creative…"
77,"newSr. Manager, UX Designer",Charles Schwab,"Hybrid remote in Chicago, IL",,This role will support our exciting best-in-class active trading group.Charles Schwab User Experience and Design is responsible for software design across…
78,newSenior UX Designer,Grainger,"Chicago, IL 60603 (Loop area)",,The Senior User Experience Designer uses both interaction design and research skills to design Grainger's internal tools – a suite of custom enterprise tools…
79,"newDirector, UX Design",Grainger,"Chicago, IL 60603 (Loop area)",,"This role will report to the Sr. Director, User Experience.The Director, UX Design is a hands-on UX role that uses both user research and interaction design…"
80,Lead Product Designer – Benefits,League Inc,"Remote in Chicago, IL+1 location",,"As a design lead, you are primarily responsible for helping designers create high-quality work while designing meaningful growth paths."
81,UX Researcher & Designer,Willis Towers Watson,"Remote in Chicago, IL",,This role with be working across our Talent & Reward product portfolio to research and discover opportunities for cross-product solutions that bring value to…
82,Production Designer,Impact Networking LLC,"Chicago, IL 60603 (The Loop area)",,"Creative (strategy, design, ux/ui, copywriting).As a Production Designer, you’ll work alongside our stellar team of designers as well as prepare files for…"
83,Product Designer,Yello,"Remote in Chicago, IL",,The product designer will regularly design across various platforms ranging from desktop through mobile and act as a voice of the customer within the…
84,Senior Product Designer,Collective Health,"Remote in Chicago, IL",,"Work with engineers, product managers and designers to ensure we design and ship high-quality solutions.You'll contribute to the development of new visual…"
85,Lead UX Designer,Willis Towers Watson,"Chicago, IL",,"In this role, you will drive the user experience design across a defined area of our Employee Experience product portfolio."
86,newPrincipal Experience Designer - WOZ Slots,Zynga,"Temporarily Remote in Chicago, IL",,This is an opportunity to work with an experienced team of content experts to craft new experiences for a high profile entertainment franchise product with an…
87,newDigital Designer,Highwire Public Relations,"Hybrid remote in Chicago, IL",,"Explain rationale for decisions in language appropriate for a non-designer audience.Working alongside 23 digital specialists, you will possess a well-rounded…"
88,UX Designer (bswift),CVS Health,"Chicago, IL",,"The successful candidate will be working alongside other designers, developers, and product managers, the UX Designer will through research and user-centered…"
89,Senior UX Designer,"Insight Enterprises, Inc.","Remote in Chicago, IL 60611",,"From IT strategy and design to implementation and management, our employees help clients innovate and optimize their operations to run smarter."
90,Senior Strategic Designer,BCG Digital Ventures,"Chicago, IL+1 location",,"They work to uncover the intangible attitudes, behaviors, and motivations that drive people’s choices and desires and create contextually impactful venture…"
91,Web Designer,Dermacare,"Chicago, IL 60606 (Fulton River District area)",,"2+ years as a UI, interaction, product or digital designer with a focus on user centered design.This position will work closely with the User Experience (UX)…"
92,newSenior UX/UI Designer,Kraft Heinz Company,"Hybrid remote in Chicago, IL",,Individual designers may not possess these skills but should demonstrate deep expertise in 2 or more areas.UI / UX Designers at Kraft Heinz are responsible for…
93,Product Designer,Science 37,"Remote in Chicago, IL",,"3-5 years' experience as a product designer or similar role, with primary experience in UX design across web and mobile products."
94,Mobile UI Designer - Open Location,Deloitte,"Chicago, IL 60606 (The Loop area)+2 locations",,"Collaborate with other groups like developers, engagement managers and UX designers to deliver high-quality creative for both internal and client-facing…"
