,title,company,location,salary,summary
104,Graphic Designer to our Product Marketing team,,"Chicago, IL 60654 (Near North area)",,"Work with copywriters and creative director to produce final design.Develop illustrations, logos and other designs using software or by hand."
105,Product Designer,,"Chicago, IL",,A portfolio demonstrating superior design skills and deliverables from a user-centered design approach.Measure the impact of your designs.
106,Senior Product UX Researcher,,"Chicago, IL",,"Ideally, experience managing other researchers.You are a skilled, professional user researcher with 7+ years of relevant experience conducting research for…"
107,Senior Software Engineer,,"Chicago, IL",,"Collaborate deeply with traders, engineers, and researchers.Our trading strategies must respond to market events in microseconds or less, and we automatically…"
108,"Research Program Manager, Pillar",,"Chicago, IL",,"Experience articulating a vision that inspires researchers and leadership.Experience working directly with UX researchers, product designers, and/or content…"
109,Director of Information Systems and Security Officer,,"Chicago, IL 60603 (The Loop area)",,"Reporting to the Chief Financial Officer, this role is responsible for leading a team that designs and implements best practice approaches to our Information…"
110,Marketing Strategy & Insights Manager,,"Chicago, IL 60606 (Loop area)",,This Marketing Strategy & Insights Manager role will be responsible for custom research and actionable provider insights in collaboration with cross-functional…
111,Product Designer,,"Chicago, IL",,A portfolio demonstrating superior design skills and deliverables from a user-centered design approach.Measure the impact of your designs.
112,newCore Technician Senior,,"Chicago, IL",,Provides training to researchers in instrument and equipment operation.Assists in preparing cost quotes on experimental design requested by investigators.
113,"Product Designer - Opportunity for Working Remotely Chicago,...",,"Remote in Chicago, IL",,Closely collaborate with a geographically diverse design team to co-design while ensuring consistency across the suite of products and services.
114,Quantitative Developer,,"Chicago, IL 60603 (The Loop area)",,"At Citadel Securities, a leading global market maker, our team of Quantitative Developers partner with Quantitative Researchers to create and implement…"
115,"Sr. UX Researcher, Developer Experience",,"Chicago, IL 60654 (Loop area)",,"Bachelor’s and/or Master’s Degree in the study of user experience, design, research or related fields; for example, Design, Information Architecture, Human…"
116,"Software Engineer, Futures Trading Desk",,"Chicago, IL",,"In this role, you'll be expected to design, development and test proprietary trading software.Work directly with traders, developers and researchers in a tight…"
117,Senior Mobile Product Designer,,"Remote in Chicago, IL 60601",,Help support a shared design vision across the company by building consensus on priorities leading to product design and execution.
118,"Manager, Content Design",,"Chicago, IL 60654 (Loop area)",,"You understand brand and marketing methodologies, but your real expertise is using design thinking in service of creating great products."
119,S&PP Competitive Intelligence Manager - Industry X,,"Chicago, IL",,People in the Corporate Function contribute to the running of Accenture as a high- performance business through specialization within a specific functional area…
120,Lead UX Researcher,,"Hybrid remote in Chicago, IL 60290",,"Identify key research questions and objectives in partnership with product management and design.5+ years of professional experience as a UX researcher,…"
121,Nursing Professional Development Specialist (Educator),,"Chicago, IL",,"Uses the roles of advisor, change agent, collaborator, communicator, consultant, facilitator, leader, mentor, researcher to impact patient safety and quality…"
122,"Director, UX Design",,"Chicago, IL 60603 (Loop area)+1 location",,Experience flexing between design strategy and planning and design execution.Experience contributing to a pattern library or design system.
123,"CIB - Sr User Experience Designer, Associate - Payments Oper...",,"Chicago, IL",,Understand and apply design system.Understand and apply accessibility to designs.Understanding of how designs translate to code.
124,UX Designer / Researcher,,"Chicago, IL 60604 (The Loop area)",,Translate research findings into actionable design recommendations.Ability to design and moderate qualitative studies.
125,newSenior Data Analyst,,"Hybrid remote in Chicago, IL 60603",,"Our expert team includes social scientists that acquire, collect, and analyze data from health care organizations and patients; evaluators; health services…"
126,Senior Applied Researcher,,"Remote in Chicago, IL",,"Perform research, experimentation, and related engineering to design, build and evaluate machine learning-based models to be deployed into production…"
127,newProject Manager Senior,,"Chicago, IL",,The Franklin lab is an inter-disciplinary group of researchers and staff who conduct multi-site studies using advanced informatics and analytics to engage…
128,Lab Research Assistant 2 - Internal Medicine,,"Chicago, IL 60612 (Illinois Medical District area)",,Advanced knowledge of standard experimental design.Log data and experiment results and discuss with researcher and team.Date Posted: 12/06/2021.
129,"Center for Integrated Research (CIR), Manager - Future of Wo...",,"Chicago, IL 60606 (The Loop area)",,"Program Management: Ability to design a strategic research agenda, plan and execute projects involving multiple team members, manage senior stakeholders, and…"
130,Sr. Director Digital & Marketing-Product Design UX/UI,,"Chicago, IL 60607 (West Loop Gate area)",,"Mastery and able to guide on user experience design, including usability principles, user research methodology, testing techniques (A/B, Multi-Variant), design…"
131,Senior UI Designer (Freelance),,"Remote in Chicago, IL 60604",,5+ years mobile product design / mobile app design experience.IA Collaborative is a global design and innovation consultancy.
132,Sr. Content Designer,,"Chicago, IL",,Knowledge of design system managers.Help support a shared design vision across the company by building consensus on priorities leading to product design and…
133,Quantitative Developer,,"Chicago, IL",,"Partner with investment professionals and quantitative researchers to define priorities, deliver custom software solutions, and improve the investment process."
134,AVP Information Solutions & Services,,"Chicago, IL 60612 (Illinois Medical District area)",,"Proven ability to design and drive change.Promotes effective, open communication and develops collaborative working relationships with all levels of staff,…"
135,UX Writer,,"Remote in Chicago, IL 60602",,"Join our UX researchers to observe and conduct user testing and research to inform our experiences.The position requires a customer focus, data savviness, and…"
