,title,company,location,salary,summary
38,"User Researcher, Security",,"Washington, DC 20002 (Capitol Hill area)+1 location",,"Be an advocate for and drive user-centered design processes.You will work with researchers, designers, product managers, and engineering to identify research…"
39,"newManager, Equity Strategy and Programming",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
40,"Coordinator, Innovation & Design XQ",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
41,Content Strategist,,"Washington, DC",,Collaborate with UX researchers and designers on content design and information architecture.An understanding of human-centered design processes and how…
42,Researcher/Sr Researcher,,"Washington, DC 20006 (Downtown area)+1 location",,"Lead the design, management and execution of large multi-phase projects.Assist in the design, management and execution of large multi-phase research projects…"
43,Digital Marketing Manager,,"Remote in Washington, DC 20003",,Passion for experience design and UX.Experience creating clear and compelling storytelling through narrative and design.Bachelor’s degree in related field.
44,newSoftware Engineer,,"Hybrid remote in Washington, DC 20036",,"ACS Publications, by virtue of its products and wide-ranging peer review, touches hundreds of thousands of active researchers.AI/ML knowledge a plus."
45,Senior Service Design Researcher - Remote Opportunity,,"Remote in Washington, DC",,"6+ years of experience in a related field along with a portfolio of past service design (design thinking, human-centered design) research that highlights your…"
46,UX Research Participant Recruiter - Opportunity for Working...,,"Remote in Washington, DC",,"Interacting with researchers and designers to understand the participant needs for their research studies.VMware Design has some research specialists, but all…"
47,Field Application Scientist II,,"Washington, DC",,"Assist customers with experimental design, assay design, and reporting of results.Bio-Rad was founded over six decades ago and has continued to provide the…"
48,"Director, Equity Strategy and Programming",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
49,"newManager, Equity Strategy and Programming",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
50,"Director, Supportive Learning Environments",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
51,Policy Director,,"Washington, DC 20037 (Foggy Bottom area)",,"Build and maintain relationships with Congressional staffers, state commissioners and other policymakers, policy experts, advocates, and researchers to identify…"
52,Senior Video Producer,,"Washington, DC 20036 (Dupont Circle area)",,"For most projects, the project team will also include academic researchers and their assistants and other communications professionals."
53,Program Officer External Engagement - PGA Fellowships Office,,"Washington, DC 20001 (Judiciary Square area)+1 location",,"These fellowship awards play an important role in the career development of doctoral and postdoctoral researchers and scholars for the academic, federal,…"
54,Information Architect,,"Washington, DC",,"Demonstrated experience with data visualization or information design.Serves as a point of contact for annotators, researchers and translators when working…"
55,Survey Researcher with Polygraph,,"Washington, DC+1 location",,"As a Survey Researcher within our Workforce Transformation team you will advise on survey design, administration, analysis, and reporting for the client in…"
56,Product Designer - Opportunity for Working Remotely Washingt...,,"Remote in Washington, DC",,Closely collaborate with a geographically diverse design team to co-design while ensuring consistency across the suite of products and services.
57,"newSr. Manager, Design Operations (Remote)",,"Remote in Washington, DC",,"You’ll join a small and passionate team of user experience designers, visual designers, user researchers, and design managers.Let’s innovate and grow together!"
58,Research Manager,,"Washington, DC 20037 (Foggy Bottom area)",,"In 2021, Aspen Digital joined a diverse group of tech companies, researchers, and DEI experts in publishing the landmark ACT Report, which outlines a wide range…"
59,Digital Marketing Manager,,"Remote in Washington, DC 20003",,Passion for experience design and UX.Experience creating clear and compelling storytelling through narrative and design.Bachelor’s degree in related field.
60,Research Fellow,,"Washington, DC 20008 (Cleveland Park area)",,"They will support the design, implementation, and evaluation of human factors research studies which may include a broad range of approaches including…"
61,Senior Product Manager,,"Remote in Washington, DC",,"Ability to identify organizational goals and challenges, design engagements and make change in organizations.Lead the iteration review, and builds consensus on…"
62,"Specialist, Filming Impact Align",,"Washington, DC 20002 (NoMa area)+1 location",,Willingness to learn Adobe Captivate and practical experience with Adobe Captivate or similar design and development tools a plus.
63,SQL DBA,,"Washington, DC 20036 (Downtown area)",,"Work with subject matter or technical experts in a regulatory environment, including attorneys, researchers, and/or economists."
64,"newProduct Manager, Healthcare Communications",,"Washington, DC",,"Demonstrable experience with design thinking, lean startup, and experimentation.Bachelor’s degree in business, engineering, computer science, design, or…"
65,Survey Researcher with Polygraph,,"Washington, DC+1 location",,"As a Survey Researcher within our Workforce Transformation team you will advise on survey design, administration, analysis, and reporting for the client in…"
66,"Director, Supportive Learning Environments",,"Washington, DC 20002 (NoMa area)",,"IMPACT Design: Gathers and responds to feedback from DCPS leadership and staff, and uses this feedback to consider possible IMPACT design changes for the future…"
67,"newSr. Manager, Design Operations (Remote)",,"Remote in Washington, DC",,Are familiar with the user-centered design process.Continuously identify standard methodologies and create corresponding documentation to enable seamless…
68,Implementation Research Consultant,,"Washington, DC 20005 (Downtown area)",,Experience working with youth researchers in these regions is strongly preferred.Consultants may in some cases design and/or lead implementation research…
69,"newDigital Communications Specialist, International Development...",,"Remote in Washington, DC",,Experience with creative design applications such as Adobe Creative Suite and Canva;The Digital Communications Specialist will support building the profile and…
