,title,company,location,salary,summary
56,Cataloging and Metadata Librarian,San Francisco State University,"San Francisco, CA 94132 (Lakeshore area)",,The person in this position will provide lead work to the Cataloging unit and will work closely with the faculty and staff in the Collection Management Services…
57,Training Specialist,"SF Goodwill (San Francisco, San Mateo, Marin...","San Francisco, CA",,Ability to lead and conduct training.Present information to participants in a clear and effective manner using a variety of teaching aids and instructional…
58,Middle School Humanities Teacher,San Francisco Friends,"San Francisco, CA 94103 (Mission area)",,"2 or more years lead teacher experience.Humanities at Friends is an inquiry based, conceptual, program where students grapple with problems and make meaning…"
59,"Sr. Creative Program Manager, Publications, Device Packaging...",Amazon.com Services LLC,"San Francisco, CA",,"They contribute to the evolution of design practices by recommending improvements to publications design, workflows, and the systems that support, while…"
60,STEM Teacher,De Marillac Academy,"San Francisco, CA 94102 (Tenderloin area)",,"Curriculum and inform instructional practices.Collaborate with instructional staff, other school personnel, and families for the purpose of."
61,"newCosmetics Counter Manager - Le Labo, Full Time: San Francisc...",Bloomingdale’s,"San Francisco, CA 94103 (South of Market area)+3 locations",,"Ability to read and interpret instructional documents such as safety rules, operating and maintenance instructions, and procedural manuals."
62,"Sr. Creative Program Manager, Publications, Device Packaging...",Amazon.com Services LLC,"San Francisco, CA",,"They contribute to the evolution of design practices by recommending improvements to publications design, workflows, and the systems that support, while…"
63,"Operations Manager, Youth Programs & Continuing Education",California College of the Arts,"San Francisco, CA 94107 (Mission Bay area)",,"Process purchase requisitions for instructional/studio materials, supplies, vendors, independent contractors, models, and speaker fees."
64,Building Service Engineer,San Francisco State University,"San Francisco, CA 94132 (Lakeshore area)",,All of the above functions are performed to provide an operationally sound and safe instructional environment for learning using a variety of power and hand…
65,Spanish Educator,After School Enrichment Program (ASEPSF),"San Francisco, CA",,Implement ASEP Spanish Language Program curriculum with pre-design instructional plans.Co-lead a small mixed-age class with a student-teacher ratio of no more…
66,Sales Enablement Facilitation Leader,Splunk,"San Francisco, CA 94107 (South Of Market area)",,"Lead, coach, inspire, and manage a team of Sales Enablement Facilitators responsible for facilitating monthly sales onboarding selling systems and process…"
67,"Training and Outreach Specialist, SF Ethics Commission - Eth...",City and County of San Francisco,"Temporarily Remote in San Francisco, CA 94102",,"Prior experience in the areas of training, stakeholder outreach, digital content creation, graphics, UXUI, instructional design, and/or e-learning is essential."
68,Cataloging and Metadata Librarian,San Francisco State University,"San Francisco, CA 94132 (Lakeshore area)",,The person in this position will provide lead work to the Cataloging unit and will work closely with the faculty and staff in the Collection Management Services…
69,Hourly Sign Language Interpreter,California State University,"San Francisco, CA",,"Settings include, but are not limited to the classroom, student-teacher meetings, and/or other academic, instructional, administrative meetings, or public…"
