,title,company,salary,summary
107,"Design Manager, Shared Platforms",Dow Jones,,"In this hand-on role, you will help support designers as well as directly contribute to solutions in a fast-paced environment.Hands on work as required."
108,Senior Graphic Designer,"Amyris, Inc.",,"Take design from concept through execution, managing the work and ensuring timely delivery all while influencing stakeholders."
109,"Android Engineer, Perception, 3+ Years Experience",Snapchat,,"Push the limits of mobile devices and work closely with designers to create great user experiences.Build performant, scalable, and creative products."
110,"Power, Utilities & Renewables - Geographic Information Syste...",Deloitte,,"Our practitioners work collaboratively within integrated, cross-functional teams to deliver comprehensive strategies and implementation program that help our…"
111,"Technichal Business Analyst/Designer, Officer Level",State Street,,This position works closely Senior designers and business analysts to prepare Design documents for enhancements to RKS.Quick learner who can multitask.
112,"newSenior Director, Machine Learning Experience Design",Capital One - US,,"5+ years experience managing teams of designers.As the RAI and Machine Learning Experience Design Director, you will be working with UX designers, product…"
113,ESG User Experience Designer,S&P Global,,"Grade ( relevant for internal applicants only ): 10.You will provide product design, prototyping, research and facilitation services for Sustainable1 desktop…"
114,"Executive Director, Planning & Yield","Vox Media, LLC",,Provide business intelligence to drive executive decisions.Vox Media's Revenue organization handles advertising and marketing partnerships with brands and…
115,"Product Manager, Artificial Intelligence/Machine Learning",Facebook App,,"Facebook Product Managers in Artificial Intelligence (AI)/Machine Learning (ML) work with teams of engineers, state-of-the-art machine learning experts from…"
116,Senior Web Engineer,Dow Jones,,"Work closely with journalists, designers, data scientists, product managers and other engineers to build innovative solutions to current and future newsroom…"
117,Sales Reporting Analyst,theSkimm,,"Experience with SQL and proficiency with business intelligence tools (e.g, Looker, Tableau).We pull out all of the stops to get sh\*t done, whether that's…"
118,Technical Communications Designer,NBCUniversal,,Must be able to demonstrate emotional intelligence and judgment in complex and sensitive situations.The Technical Communications Designer is responsible for…
119,"Senior Manager, UX Researcher - Upwise",MetLife,,Aid our business intelligence team by providing qualitive research to bolster their quantitative understanding.Reports to Upwise’s head of design.
120,"Product Manager, Artificial Intelligence/Machine Learning",Facebook App,,"Facebook Product Managers in Artificial Intelligence (AI)/Machine Learning (ML) work with teams of engineers, state-of-the-art machine learning experts from…"
121,Senior Web Engineer,Dow Jones,,"Work closely with journalists, designers, data scientists, product managers and other engineers to build innovative solutions to current and future newsroom…"
122,Sales Reporting Analyst,theSkimm,,"Experience with SQL and proficiency with business intelligence tools (e.g, Looker, Tableau).We pull out all of the stops to get sh\*t done, whether that's…"
123,Technical Communications Designer,NBCUniversal,,Must be able to demonstrate emotional intelligence and judgment in complex and sensitive situations.The Technical Communications Designer is responsible for…
124,"Senior Manager, UX Researcher - Upwise",MetLife,,Aid our business intelligence team by providing qualitive research to bolster their quantitative understanding.Reports to Upwise’s head of design.
125,"Manager, Communications Design",IPG Mediabrands,,"Lead the best practice production of audience and communications data and intelligence for the development of the communications plan, utilizing relevant tools…"
126,Group Design Director,Fantasy,,"You’ll mentor and manage other designers, helping them advance and grow.Craft experiences that people love.You’ll help manage and build the East Coast design…"
127,"Product Manager, WSJ - Articles & Storytelling Formats",Dow Jones,,"Coordinate communication between developers, designers, and business stakeholders regarding goals, requirements, and growth expectations."
128,"SVP, Group Creative Director (Beauty Brands)",Edelman,,"Ability to build and lead a team of art directors, copywriters and designers, while also effectively collaborating with other internal and external teams."
129,Product Manager,Insider Intelligence,,"Partner with a team of engineers, designers, and product managers to deliver on company initiatives.We are looking for a data driven Product Manager who is…"
130,"Social Media and Blog Designer, AI Creative Design",Facebook App,,"The candidate will work closely with the creative director, producer, communications and marketing teams, product designers, and researchers at one of the world…"
131,Lead UX Researcher (Fully Remote),ADP,,Engineer Analyst Architect Data Scientist Application Developer Design Implementation Chief Principal Enterprise Specialist Infrastructure Research Development…
132,QA Automation Level III,Casebook,,"What You’ll Do(Responsibilities):Formulate long term strategies for quality assurance testing,and analyze long term impactsLead decision making around selection…"
133,"AM - Institutional Marketing, Associate","JPMorgan Chase Bank, N.A.",,"Measurement and reporting-a strong interest in quantifying the success of marketing programs; ability to identify areas for evaluation, establish standard…"
134,Product Manager,Reorg Research,,3-5+ years of experience in product management; experience with Search a plus; experience with financial data and intelligence products a plus.
135,Director - Design System,Moody's,,Define design guidelines and components libraries for other designers and UI developers.Moody’s Analytics provides financial intelligence and analytical tools…
136,VP of Marketing,Copyleaks,,"Experience working and communicating with designers, copywriters, and website engineers to support/complete marketing driven projects."
137,newManaging Strategy Consultant (Strategic Business Insights),IBM,,"As a Strategy Consultant at IBM, you will help reinvent businesses and industries by developing and utilizing specialized knowledge of industry-specific and…"
138,Project Manager,Studio Link-Arc,,A professional degree in Architecture from an accredited institution.Authorization to work in the United States.Experience working in Asia/China is a plus.
139,Head of Content Strategy,"Jefferies & Company, Inc.",,"While there will be a team of designers and videographers to work with, the individual will need to be comfortable rolling up their sleeves and doing a lot of…"
140,Senior Communications Designer,IPG Mediabrands,,"In this role, you produce and analyze consumer, brand and marketing intelligence for the communications plan development."
141,UX Designer,"Amazon Dev Center U.S., Inc.",,"3+ years of experience as a user experience designer, product designer, information architect, or similar role within a customer lifecycle of a data-driven…"
142,"newSr. Manager, Insights - Customer Success Operations",Salesforce,,3-yrs experience as a Tableau designer.Oversee the prioritization and delivery of business intelligence solutions to meet the demands of the Customer Success…
143,Associate Digital Merchant - maurices,Maurices,,Has a keen knowledge of competitive and market intelligence both online and in brick and mortar stores.Participate in all key pipeline meetings including line…
144,Backend Python Developer,Peraton Labs,,Collaborate with UX/UI designers to implement design into the code.Investigates the feasibility of applying scientific principles and concepts to potential…
145,Senior Product Designer,CVS Health,,5+ years of experience crafting experiences for complex consumer-facing products or business intelligence tools.Solid understanding of WCAG best practices.
146,Competitive Intelligence + Market Researcher - Entry Level,Global Furniture Group,,"Develop a network of competitive intelligence research vendors tasked with gaining key competitive information at an industry, manufacturer, and product level."
147,Real World Evidence Consultant,Deloitte,,"Experience with agile business intelligence / analytics tools such as Tableau, Qlik, Spotfire, R Shiny.The ConvergeHEALTH Miner™ suite helps life science…"
148,Senior Project Manager,Edelman,,"Oftentimes at the center of complex initiatives, you will lead the integration of creative components from account, planners, designers, copywriters, producers,…"
149,UI/UX Designer,Accrete.AI,,We are looking for a Product Designer with experience in data visualization and enterprise-oriented product design.
