,title,company,salary,summary
152,JAVA SOFTWARE DEVELOPER,Ordina,,"Minstens 2 jaar ervaring als ontwikkelaar in Java;Bij Ordina J-Tech, werk je samen met ruim 130 gedreven en creatieve developers bij de gaafste Javaclub van…"
153,Creative Frontend Developer,Incentro Amsterdam Centrum,€3.500 - €5.250 per maand,"€ 3500 - € 5250 bruto per maand.Je werkt samen met Marketing, Klantenservice, Management, IT.Je hebt oog voor kwaliteit en ondernemersschap."
154,Backend Developer,i-Aspect,,"Jij werkt aan diverse projecten; van websites, webshops en webapplicaties tot aan werken met API’s en (externe) koppelingen.Lokaal werken wij met Docker."
155,FrontEnd Developer,ITSync,,"They are looking for a proactive Front-End Developer, who believes in the importance of good documentation.Experience with Hippo and Elasticsearch is a plus."
156,Software Developer,Van Halteren,,"Denk aan mooiere ontploffingen op grotere schermen, maar ook aan het minimaliseren van de benodigde hardware en software."
157,Software Developer,Uptrends,€4.200 per maand,"Een bruto startsalaris tot maximaal €4.200,- per maand.Een jaarcontract, gevolgd met een contract voor onbepaalde tijd.Of je nu met de auto of de trein komt."
158,Full Stack Developer,ITSync,,"We work in AWS with a micro-services architecture.Experience with AWS (Cloudformation, ECS, Lambda, CDK) is therefore highly desirable."
159,Java Software Developer - Accommodation Technology,Booking.Com,,We are responsible for the design & delivery of services and products to offer customers the best selection of properties and rooms.
160,Front-end Developer,HeadFWD,,Wilco is Lead developer en betrokken bij het project sinds de eerste regel code.Dylan is actief als front-end ontwikkelaar bij de haven van de toekomst ‘Port…
161,Fullstack developer,Nationale Hypotheekbond,,"Het wordt een divers weekje met aanpassingen in het queueing systeem, het maken van een nieuwe berekening (die voor een hoop mensen een besparing gaat opleveren…"
162,Java developer,B&S,,"As a Java developer, you will be working on complex integration issues, where enterprise-level e-commerce environments, PIMs and ERPs integrate seamlessly in…"
163,nieuwFull Stack Developer bij Urban Arrow,Urban Arrow,,Je werkt nauw samen met Product Owners binnen Urban Arrow en developers en architecten binnen PON IT (en mogelijk andere software leveranciers).
164,Backend Developer,Elevate Digital,,"Ons team bestaat uit 40 enthousiaste developers en marketeers.Wij zijn een growth marketing agency in centrum Utrecht vol jonge ambitieuze mensen, waar…"
