,title,company,salary,summary
86,Data Scientist / Data Analyst,iptiQ,,Passion for data and storytelling with data.Enable a data-informed culture within iptiQ.Master’s or PhD degree in a data-focused field or equivalent working…
87,Scientist Product Analytical Development,uniQure,,"Strong interpersonal and communication skills in English, written and verbal including presentation of technically complex data."
88,Data scientist | bioinformatician,Hubrecht Organoid Technology,,The Data scientist | Bioinformatician will process and analyse Next Generation Sequencing (NGS) data to identify biomarkers for organoids response.
89,Data Engineer,ChargePoint,,"Your job will be to augment the data from vehicles and charge stations with external data sources (weather, altitude, traffic) and support the Data Scientist in…"
90,nieuwData & Analytics Consultant,Sia Partners,,"Je wilt bedrijfsimpact hebben, niet alleen door data-analyse te doen, maar ook door aanbevelingen te doen door middel van inspirerende presentaties."
91,Data Engineer,Action,,"A data engineer also designs, implements, monitors, and optimizes data platforms to meet the data pipeline needs.24 paid vacation days (based on 38 hours);"
92,"Scientist / Physician, Real World Data and Machine Learning...",Johnson & Johnson Family of Companies,,"Experience analyzing patient level data - phenotypical, genomics and behavior data (or proficient working with at least two of these data types)."
93,Senior Decision Scientist,Adidas,,"Ability to visualize your data insights with tools like MicroStrategy, Tableau or Power BI.Experience with SQL (e.g. aggregate functions, joins) NoSQL, Hadoop…"
94,DATA ANALYST,de Bijenkorf,,"Je werkt nauw samen met email en CRM marketeers, data scientisten en online data analisten.Monitoren data pipeline, verzending executies en levering van emails…"
95,(Junior) Data Scientist,Linden-IT,,Tijdens je eerste maand bij Linden-IT nemen we je mee in de wereld van Data en zorgen we ervoor dat je er klaar voor bent om als data scientist aan de slag te…
96,"Senior Data Scientist, Personalization",Spotify,,"Mentor and coach other data scientists.This role works closely with a multidisciplinary team of data scientists, user researchers, data engineers, product…"
97,Data Analist - Redactionele content,DPG Media,,"Je werkt samen met data engineers, data scientists en redactie-analisten en helpt DPG Media zo om doelen op het gebied van onder andere artikelen en video’s te…"
98,Senior Data Scientist,ING,,"You will also frequently coordinate with data engineers, machine learning engineers, data analysts and customer journey experts to enable the bringing of models…"
99,Senior Data Scientist RaboResearch Financial markets & Econo...,Rabobank,,"As senior data scientist you will be a member of the RaboResearch Data Science team, working primarily on topics related to economics and financial markets,…"
100,Data Engineer,SAMBA TV,,Work in collaboration with data scientists to develop new and improved algorithms and models that best capture the value of our data.
101,Developer werkstudent,Deloitte,,Je maakt gebruik van de nieuwste ontwikkelingen in cloud en maakt enterprise-grade software.Oplossingen vinden voor problemen en elke dag iets nieuws leren…
