,title,company,location,salary,summary
128,Senior Product Designer,frog,"New York, NY+1 location",,A passion for creating products that resonate emotionally with people.Senior Interaction Designers craft how the individual interacts with a digital product or…
129,UX Product Designer,BlockFi,"Remote in New York, NY",,"At BlockFi, Product Designers influence teams to make customer-centric decisions across the product development lifecycle."
130,Senior Product Designer,Amun 21Shares,"New York, NY",,"Aptitude for (and ideally, some experience with) mentoring junior product designers.Experience working directly with product managers, engineers, and…"
131,Senior UI/UX Designer,Konrad,"New York, NY",,"Mentor designers by providing clear design guidance and actionable suggestions.Lead design research, ideation and creation of digital interfaces across…"
132,newProduct Design Drafter,Repligen Corporation,"Clifton Park, NY 12019",,Modify and revise designs to increase manufacturability of existing and new products.Requires 5+ years of drafting experience using SolidWorks in a…
133,Senior Product Designer (Teamstand),"D. E. Shaw & Co., L.P.","New York, NY",,The senior product manager will oversee design efforts across Teamstand’s product and brand.
134,UX Product Designer,ION,"New York, NY",,"Knowledge of, and strong demonstrated interest in, global financial markets and financial products.You will work in a customer-facing environment solving…"
135,UI/UX Designer,Rapidosoft Technologies,"Jackson Heights, NY 11372",,Required Skill: Designing UI for Mobile domain (iPhone/Android /Blackberry/Java EE).Qualification: Degree in Fine Arts or Any relevant degree.
136,newSenior Product Designer,Klarna,"New York, NY",,"As a designer, you will oversee the design vision and execution for one of the problem space teams and work closely with product managers, engineers, designers,…"
137,newVP UX/UI Designer,"JPMorgan Chase Bank, N.A.","New York, NY",,"Significant experience working with Adobe Suite products, particularly Illustrator.6+ years relevant experience designing engaging digital products and/or…"
138,Senior Product Designer,Voyager Digital,"Remote in New York, NY",,5+ years of relevant product design experience in mobile and/or web-based products.Prior experience working with crypto or fin-tech products is a plus.
139,Senior Product Designer,Sinclair Broadcast Group,"Hybrid remote in New York, NY 10165",,"Interested in sports and their related digital products.Actively participate in feedback sessions including design team critiques, product team reviews,…"
140,Senior Product Designer - Eats Membership,Uber,"New York, NY 10007 (Financial District area)+1 location",,"5+ years of product design experience.Identify future opportunities, working as a key thought partner to your counterparts in product, engineering, and ops."
141,Product Designer - Core,Plaid,"Remote in New York, NY 10012",,"The design team at Plaid is made up of product designers, design systems designers, brand designers, researchers, and content strategists who work with our…"
142,UX Product Designer,BlockFi,"Remote in New York, NY",,"At BlockFi, Product Designers influence teams to make customer-centric decisions across the product development lifecycle."
143,Senior Product Designer,Wunderman Thompson,"New York, NY",,"You are a highly proficient product designer who can synthesize and translate abstract and complex concepts into simple, thoughtful product solutions that solve…"
144,"Senior Product Designer, US",Chainalysis,"New York, NY",,You feel fully confident collaborating with product managers and engineers to set the long and short term roadmap of the product.
145,UX UI Designer,PredictionStrike,"Remote in New York, NY",,Must have experience designing both mobile and web based applications.Experience in direct-to-consumer technology and experience in sports and gaming spaces is…
146,newSr. UX designer (PCEP),"JPMorgan Chase Bank, N.A.","New York, NY+1 location",,"Define a design system/language and advocate its application across different products and platforms.Collaborate with product managers, technology, executive…"
147,UI UX Designer,"TPR Education, LLC","New York, NY 10017 (Midtown area)",,"Communicate and present to key stakeholders regarding user needs and design solutions for all student-facing product lines, including The Princeton Review’s…"
148,Head of Product and Design,Rowan,"New York, NY",,Lead all product design and development activities.Create product roadmap and process to ensure timely and on trend and on brand design and builds out product…
149,Graphic Designer UI-UX,NewYork-Presbyterian Hospital,"Manhattan, NY 10065 (Upper East Side area)",,The Graphic Designer UI/UX creates visual concepts to captivate consumers through the communication of content that is both meaningful and visually appealing.
