,title,company,location,salary,summary
113,newSenior UX Researcher,"PitchBook Data, Inc.","Seattle, WA 98164 (Downtown area)",,"Developing, in partnership with product teams, strategies for creating meaningful and usable products and validating these product experiences throughout the…"
114,"Sr. UX Designer, AWS AI/ML, Computer Vision","Amazon Dev Center U.S., Inc.","Seattle, WA",,"Throughout the strategy, design, and development lifecycle, the designer will work collaboratively with a strong design team, engineers, product managers and…"
115,Senior UI/UX Designer,ProbablyMonsters,"Bellevue, WA",,Shares knowledge and experience with other members of the team by providing constructive and actionable feedback to ensure product consistency and quality.
116,HRST User Experience Designer,Deloitte,"Seattle, WA 98104 (Downtown area)+2 locations",,Experience across the entire product lifecycle.Eye for visual design to guide product development teams to design systems that align to brand standards.
117,Senior Product Designer (UX),"iSpot.tv, Inc.","Bellevue, WA 98008 (Crossroads area)",,"Experience in enterprise product or SaaS.5+ years of industry experience as a user experience designer, interaction designer, information architect, or similar…"
118,USER EXPERIENCE DESIGNER,University of Washington,"Hybrid remote in Seattle, WA 98195+2 locations",,Experience with the design of the holistic user experience of products within cross-disciplinary development teams.Experience with Git/SVN and LESS/SASS.
119,Senior UX Mobile Product Designer,"eMoney Advisor, LLC","Seattle, WA",,"As a core member supporting one of the product teams, this role will collaborate with fellow designers, researchers, product managers, developers, and beyond to…"
120,newSenior UX Researcher,"PitchBook Data, Inc.","Seattle, WA 98164 (Downtown area)",,"Developing, in partnership with product teams, strategies for creating meaningful and usable products and validating these product experiences throughout the…"
121,Senior UX/Product Designer,Skykick,"Seattle, WA 98119 (Uptown area)",,Minimum 5+ years of professional experience as a UX/product designer on a product development team defining the end-to-end experience.
122,"Director of Product Design, Mobile","Lessen, Inc","Seattle, WA",,"Help shape the vendor product roadmap, both short term and long-term.Drive collaboration and vision across the company to build alignment on priorities leading…"
123,UX Designer,Qualtrics,"Seattle, WA 98101 (Downtown area)+1 location",,"You are a customer advocate, you grow and mentor other designers, and you live to see your designs fully executed in products.A Day in the Life."
124,"Technical Program Manager, Product Design Engineering",Facebook App,"Seattle, WA+1 location",,"Experience in first party product development, defining requirements and program constraints, and collaborating with both internal and external stakeholders."
125,"Senior Product Designer, Product Data Tools, Services & Meta...",REI,"Remote in Seattle, WA+1 location",,"6+ years’ experience as a User Experience designer, interaction designer, information architect, Service designer or similar."
126,Sr. UX Designer - AWS Observability,"Amazon Dev Center U.S., Inc.","Seattle, WA",,"As Sr. UX Designer, you will own the end-to-end design process – from initial user research to product design and polished visuals – across a range of rich…"
127,Senior UX Mobile Product Designer,"eMoney Advisor, LLC","Seattle, WA",,"As a core member supporting one of the product teams, this role will collaborate with fellow designers, researchers, product managers, developers, and beyond to…"
128,Director of Product Design - Commit,Outreach,"Seattle, WA",,10+ years of UX/product design experience on a product development team.Building strong partnerships with peers in product and engineering.
129,Design Engineer New Product Development,Collins Aerospace,"Everett, WA 98204 (Holly area)",,Design ownership of product life-cycle including initial concept through production and product support.Prior experience in the design of mechanical systems…
130,Product Design Director - UI/UX,Branch,"Remote in Seattle, WA",,"Drive and coordinate product design vision across our B2B and B2C products.Build and coach a team of talented product designers, with additional responsibility…"
131,Senior/Lead UX Designer - Tableau,Salesforce,"Seattle, WA",,"As a designer at Tableau, you’ll create product experiences that empower people to see and understand data.Create pixel-perfect visuals for product interfaces…"
132,Senior UX Designer,Steyer,"Remote in Bellevue, WA",,"Strong portfolio with case studies demonstrating an array of product design work.Steyer Content is a full-service content agency that uses world-class writing,…"
133,Senior/Lead UX Designer,Tableau,"Seattle, WA",,"As a designer at Tableau, you’ll create product experiences that empower people to see and understand data.Create pixel-perfect visuals for product interfaces…"
134,Senior UX Designer,Samsung Electronics,"Bellevue, WA 98007 (Eastgate area)",,"Lead a couple of designers.End-to-end product design on iOS and Android.They participate in developing requirements, prioritization, designing products as…"
135,Senior Digital Designer - UX/UI Design,STV,"Seattle, WA 98104",,"Experience in agile product development is a plus.Support STV’s expanding Advisory Services team, which is focused on digital transformation and helping our…"
136,"Sr. UX Research Program Mgr., Physical Stores Experience",Amazon.com Services LLC,"Seattle, WA",,"Demonstrated success with driving innovation or product/ design decisions through research insights.Work closely with product, design, and engineering partners…"
137,"Sr. UX Designer, AWS AI/ML, Computer Vision","Amazon Dev Center U.S., Inc.","Seattle, WA",,"Throughout the strategy, design, and development lifecycle, the designer will work collaboratively with a strong design team, engineers, product managers and…"
138,Senior Product Designer (UX),"iSpot.tv, Inc.","Bellevue, WA 98008 (Crossroads area)",,"Experience in enterprise product or SaaS.5+ years of industry experience as a user experience designer, interaction designer, information architect, or similar…"
139,Product Design Engineer,Philips,"Bothell, WA",,Demonstrated leadership skills in product development and complex team structure.New products are developed by cross-functional project teams led by a Project…
140,UX Designer - eCommerce,Costco Wholesale,"Seattle, WA 98134 (Industrial District area)+3 locations",,"Collaborates with solution architects, product owners, business users, and other IT/business stakeholders to design exceptional user experiences for multiple…"
141,User Experience Designer III : 22-01053,Akraya Inc.,"Remote in Seattle, WA 98109",,"Present design work to the user experience team, product team executives for review and feedback.Duration: 6+ months contract with possible extension…"
142,Senior UI/UX Designer,ProbablyMonsters,"Bellevue, WA",,Shares knowledge and experience with other members of the team by providing constructive and actionable feedback to ensure product consistency and quality.
143,Sr. UX Designer,Fresh Consulting,"Bellevue, WA 98006 (Eastgate area)",,"Lead design reviews and support other designers.We bring together amazing UX designers, sophisticated developers, digital strategists, and top-notch engineers…"
144,Sr. User Experience Designer - Opportunity for Working Remot...,VMware,"Remote in Seattle, WA",,Participate in various forms of user research to understand customer needs and inform product designs.Collaborate with product managers and engineers to…
145,Sr. UX Researcher - Uber Freight,Uber,"Seattle, WA 98101 (Downtown area)+1 location",,"You will work closely with product managers, engineers, data scientists, and product designers to iterate and build a usable, useful, and delightful experience…"
146,Senior UX Designer,Qualtrics,"Seattle, WA 98101 (Downtown area)",,"You are a customer advocate, you grow and mentor other designers, and you live to see your designs fully executed in products.A Day in the Life."
147,UI/UX Designer,SanMar,"Issaquah, WA 98027",,Work as a UX designer within the AGILE SCRUM Framework.When needed assist in creating assets for marketing product presentations.
148,Product Experience Design Lead/Senior Product Experience Des...,Salesforce,"Seattle, WA+2 locations",,Knowledge or experience using Salesforce products and solutions.Work with technical teams and quality experts to deliver a polished final product.
149,UX Designer - Digital Experience,American Family Insurance,"Seattle, WA 98127",,"As a production designer, you’ll support UX designers by creating documentation that clearly communicates UX, UI, and interaction details to stakeholders and…"
