,title,company,location,salary,summary
26,Program Coordinator -Digital Engagement & Web Development,Northeastern University,"Boston, MA",,"Sharing new trends in web design, development and user experience design to support the OAR web strategy.The role will require coordination with internal teams…"
27,"newAssociate Technical Director, Microbial Engineering",Ginkgo Bioworks,"Boston, MA 02210 (South Boston area)+1 location",,"Provide technical direction and guidance on synthetic biology, metabolic design and metabolic engineering of target host organisms to your team to ensure…"
28,Hardware Design Engineer - Board Design,Apple,"Boston, MA 02116 (Back Bay area)+1 location",,"Board level analog and digital circuit design expertise.You have broad experience with high-speed, high-power, embedded system design."
29,Solutions Design Engineer - Warehousing & Distribution (REMO...,Ryder System,"Remote in Boston, MA 02133+3 locations",,"Execute design processes to create, re-design, or optimize logistics networks.Warehousing design and layout experience."
30,Senior Network Design Engineer,Boston Children's Hospital,"Boston, MA",,"Contributing heavily in the design, construction, and on-going maintenance of CH's various networks.Determining the need for network management tools,…"
31,SerDes Analog/Mixed-Signal Design Engineer (100% remote),"Encore Semi, Inc.","Remote in Boston, MA 02101",,"7+ years of high-speed analog design experience.You will participate in SerDes Architecture Development with DSP, Analog and Digital design teams."
32,Highway Design PE/Assistant Project Manager,Jacobs,"Boston, MA 02212 (Central area)",,"Substantial professional expertise with progressive highway design projects.What we do is more than engineer roads, we work every day to make the world better…"
33,Software Engineer – Applications,Oneiro,"Boston, MA",,"Have an understanding of the principles and techniques of responsive web design.Design, implement and test applications built to operate with the ndau…"
34,Senior UI Software Engineer,Universal-Robots,"Boston, MA",,"Continuously improve, design, and innovate our web applications.A solid understanding of object-oriented programming, design patterns, software architecture…"
35,CI Systems Engineer (Remote),Julia Computing,"Remote in Boston, MA",,We are looking for engineers excited to build the fundamental test and deployment infrastructure of the Julia language and associated projects.
36,Civil Roadway Design Engineer,Parsons,"Boston, MA",,Solid roadway geometric design background.Must have solid roadway design experience.Experience on design-build projects is preferred.
37,Railway Design Engineer (E2),TranSystems Corporation,"Boston, MA 02110 (Downtown Crossing area)",,"Participate in business development activities including information gathering, preliminary design (for design-build pursuits) and proposal writing."
38,Associate Staff Design Engineer,Silicon Labs,"Boston, MA 02210 (South Boston area)",,D in Electrical Engineering and 6+ years of experience in design.Guide the layout engineer through the post-layout verification.
39,"Full Stack Software Engineer - Python, Javascript, AWS",Acadian Asset Management,"Boston, MA 02110 (Downtown area)",,Attention to detail and an eye for aesthetic design.Excellent programming skills in JavaScript; Experience in web design and web development.
40,VP Software Product Design,Houghton Mifflin Harcourt,"Hybrid remote in Boston, MA 02110",,"Passion for design and design tools.They will be fluent in UX design principles and methodologies, as well as agile software design and development best…"
41,"Senior Software Engineer, Front-End",Roku,"Boston, MA",,"Knowledge and experience with programming best practices, design patterns, and software design structures.Knowledge and experience of implementing web design…"
42,Senior Full Stack Engineer,Arrayo,"Boston, MA",,"As an Arrayo software engineer, you will work directly with users to understand requirements and then work with your team to design, develop, and deploy custom…"
43,Design Engineer,Silicon Labs,"Boston, MA 02210 (South Boston area)",,Verilog RTL design with demonstrated experience of taking designs through the silicon development lifecycle to production.Then we want you on our team.
44,"Project Engineering Designer, Electrical",EYP,"Boston, MA 02210 (Downtown area)",,"Under supervision, coordinate and prepare schematic design, design development, and construction documents.Assist in spatial coordination with architecture and…"
45,DESIGN-BUILD PROJECT MANAGER,WSP,"Boston, MA",,Experience serving as the design manager for design-build projects.The key focus of this position is to serve as the design team Project Manager (Design…
46,VB.Net Developer with Vue.js - Location Open,Deloitte,"Boston, MA 02116 (Back Bay area)+4 locations",,"Responsive web design (Bootstrap, LESS).Review the design and documentation delivered by team.Understands how to design, configure, build, and test…"
47,Web & Visual Designer (Marketing),IMMERSIVE GAZE,"Boston, MA",,"Collaborate with cross-functional teams to define, design, and ship new features.You'll be familiar with agile practices and have a highly technical background…"
48,"Engineering Designer II, Electrical",EYP,"Boston, MA 02210 (Downtown area)",,"Under supervision, coordinate and prepare schematic design, design development, and construction documents.Assist in spatial coordination with architecture and…"
49,Transportation Designer/Engineer (Hybrid),Nitsch Engineering,"Boston, MA 02108 (Downtown area)",,"The ideal candidate for this position must have experience in roadway and highway design, drainage design, preparing traffic management plans, cost estimating,…"
50,Highway Design Engineer,Greenman-Pedersen Inc.,"Boston, MA 02111 (Central area)",,"Thorough understanding of geometric design of highways and streets.Ability to develop plans from conceptual design to final horizontal and vertical alignments,…"
51,Design Analyst,IMMERSIVE GAZE,"Boston, MA",,"Collaborate with cross-functional teams to define, design, and ship new features.You'll be familiar with agile practices and have a highly technical background…"
52,Senior Transmission Line Design Engineer,Tetra Tech,"Boston, MA",,"Review of internal and external designs for code compliance, design practice and ensure that the designs submitted result in lower overall costs for customers."
53,ServiceNow Platform Engineer - Knowledge and Design,Boston Consulting Group,"Boston, MA 02109 (Downtown area)",,Collaborate with product team to design solutions.Provide guidance and oversight to junior engineers and vendor partners.Field /list validations and ACLs.
54,Sr Human Factors Design Engineer - Surgical Robotics,Medtronic,"Boston, MA",,You will join a world class team of human factors design engineers responsible for further development and enhancement of the globally launched Medtronic’s…
55,UX / UI Designer and Frontend developer,Schneider Electric,"Boston, MA",,"Illustrate design ideas using wireframes, visual and graphic designs, flow diagrams, storyboards, site maps, and prototypes.As a UX / UI designer:"
56,Senior Staff Design Engineer,Silicon Labs,"Boston, MA 02210 (South Boston area)",,Guide the layout engineer and so the post-layout verification.MS/MSc/Ph.D in Electrical Engineering and 10+ years of design experience.
57,Transportation Designer/Engineer (Hybrid),Nitsch Engineering of DC,"Boston, MA 02108 (Downtown area)",,"The ideal candidate for this position must have experience in roadway and highway design, drainage design, preparing traffic management plans, cost estimating,…"
58,Associate Staff RF IC Design Engineer,Silicon Labs,"Boston, MA 02210 (South Boston area)",,Guide the layout engineer and so the post-layout verification.MS/MSc/Ph.D in Electrical Engineering and 8+ years of design experience.
