,title,company,location,salary,summary
50,"Lead Machine Learning Engineer, Fraud Risk",Block,"Chicago, IL",,Drive technical ML strategy across the Fraud vertical within Square Risk.The ability to clearly communicate (verbal and written) complex results to technical…
51,"Assistant Professor of Instruction, IAM - Game Design",Columbia College Chicago,"Chicago, IL 60605 (South Loop area)+1 location",,"Candidates will demonstrate technical and critical expertise in game design, matched by a vibrant, complementary practice that directly contributes to the…"
52,Senior Project Architect,HDR,"Chicago, IL",,"Perform QA/QC and technical reviews.In the role of Senior Project Architect, we'll count on you to:Independently coordinate work of a multidiscipline team…"
53,"Executive Director, Media & Instructional Resources",The Art Institute of Chicago,"Chicago, IL 60603 (The Loop area)",,"Knowledge and proficiency with technology concepts, plus the ability to communicate technical and systematic concepts to audiences of varying degrees of…"
54,"newSenior Presentation Specialist, Graphic Design Hybrid",Abbvie,"Hybrid remote in Lake County, IL",,"Collaborate with creative managers, writers, and account managers as well as motion artists and editors to complete presentations."
55,Human Resources Coordinator,Northlight Theatre,"Skokie, IL 60077",,"High energy, collaborative environment with close involvement with the art and artists.The successful candidate should be well organized, have excellent…"
56,"Assistant Professor of Instruction, COMM - Branded Entertain...",Columbia College Chicago,"Chicago, IL 60605 (South Loop area)+1 location",,"In particular, candidates will demonstrate technical and critical expertise in branded entertainment and branded content development, matched by a vibrant,…"
57,"newSenior Analyst, Intelligent Automation",Block,"Chicago, IL",,"Drive the technical architecture, develop system requirements, identify resources, and estimate timelines for project completion."
58,newPrincipal Experience Designer - WOZ Slots,Zynga,"Temporarily Remote in Chicago, IL",,Understanding of considerations for creating user interfaces for game engines (Unity or Unreal) to effectively collaborate with technical artists and engineers.
59,Sales Strategy Analyst,Block,"Chicago, IL",,"BA/BS required (major in analytical or technical field).So we expanded into software and started building integrated, omnichannel solutions – to help sellers…"
60,Software Engineer - Enterprise Engineering,Block,"Chicago, IL",,"As a member of this team, you will be responsible for the creation of technical requirements and implementation of new systems."
61,National Specifications Manager,HDR,"Chicago, IL",,"Provide sound technical counsel for design teams and the National Help Desk.Communicate technical information effectively in a clear, concise, correct, and…"
62,Lighting Engineer,Live Nation,"Chicago, IL 60601 (The Loop area)",,Focus and lighting adjustments to artist or event specifications.Assist with the technical advance with Artists representatives.
63,Civic Principal,HDR,"Chicago, IL",,"Provides client oversight throughout project execution, including conformance to client expectations for technical/quality, financial and schedule performance."
64,Regional Digital Delivery Leader,HDR,"Chicago, IL",,Provide Tier 2 & Tier 3 digital tools support for regional users (in-depth technical & expert product support).Degree in Architecture or closely related field.
65,Sr. Solutions Consultant,Adobe,"Chicago, IL 60610 (Goose Island area)",,"Support new business technical qualification to prioritize opportunities.Five years in a technical pre-sales, consulting or in Banking, Insurance, Payments or…"
66,Product Manager,"IZEA Worldwide, Inc","Remote in Chicago, IL",,"As a Product Manager, you will help define and prioritize customer needs, distill those needs into actionable work, get buy-in for your initiatives, set KPIs…"
67,newMechanical EIT/Designer,HDR,"Rosemont, IL",,Give direction to clerical and technical personnel as needed.The Primary focus will be a Mechanical EIT/Designer executing Oil and Gas Pipeline / Facility…
68,Project Accountant 2,HDR,"Chicago, IL",,Coordinate the project accounting system within the department and work with technical staff to ensure compliance with contractual requirements.
69,Event Producer,BCD Meetings & Events,"Chicago, IL 60610 (Near North Side area)",,"Partnering with internal content producers, motion graphic artists, technical directors, and other members of the team.This is a full-time, salaried position."
70,Engineering Manager,"IZEA Worldwide, Inc","Remote in Chicago, IL",,Raise the bar for technical excellence and people management practices.Able to seamlessly switch from diving deep into technical details with your team to…
71,Senior Data Analytics & Automation Specialist,Abbott Laboratories,"Abbott Park, IL",,"Building advanced technical analytics skill in predictive modeling and machine learning.As a Data and Automation Specialist, you will play an integral role in…"
72,Software Engineering Manager - Global Risk,Block,"Chicago, IL",,"Work with many teams and departments across Square to make technical, design, strategy and product decisions.Javascript, Ember and other web-app frameworks."
73,newFACILITIES MANAGEMENT PROPOSAL WRITER,Compass Group USA,"Chicago, IL 60608+1 location",,Owns technical and creative writing content; reviewing/interpreting proposal opportunities.Collaborating with proposal pricing staff to ensure technical and…
74,Experienced Senior Tech Artist,Light & Wonder,"Chicago, IL+1 location",,Mentoring of more junior technical artists on the team.Provide artists with technical feedback to ensure the creation of optimized assets.
75,Project Accountant 2,HDR,"Chicago, IL",,Coordinate the project accounting system within the department and work with technical staff to ensure compliance with contractual requirements.
76,Senior Project Manager - Delivery,Adobe,"Chicago, IL 60610 (Goose Island area)",,"Proven ability to understand the impact of technical changes, and, to articulate high level technical solutions to address business problems."
77,Civic Principal,HDR,"Chicago, IL",,"Provides client oversight throughout project execution, including conformance to client expectations for technical/quality, financial and schedule performance."
78,Senior Project Architect,HDR,"Chicago, IL",,"Perform QA/QC and technical reviews.In the role of Senior Project Architect, we'll count on you to:Independently coordinate work of a multidiscipline team…"
79,Senior Commissioning Agent,HDR,"Rosemont, IL",,"Detailed technical knowledge of mechanical and electrical building services systems.Will have one or more specific, relevant, technical expertise."
80,"newAssociate Director, Consumer CRM",Abbvie,"Lake County, IL",,Outstanding communicator and comfortable interacting with a diverse group of technical and non-technical people.Exposure to Agile development a must.
81,Audio Engineer,Live Nation,"Chicago, IL 60601 (The Loop area)",,Assist the Production Manager with the technical advance with Artists representatives.Performs the Load-in & Out of band equipment and rental equipment.
82,Practice Area Offer Manager- Marketing Offer,Boston Consulting Group,"Chicago, IL",,"We are made up of executive and administrative (or case team) assistants, visual service artists, receptionists, facilities staff, and the team leaders and…"
83,Substation Designer II,HDR,"Rosemont, IL",,"Associates or technical school degree or combination of education and relevant experience.Work independently to perform substation design tasks, CADD design,…"
84,Senior Experience Designer - Match 3,Zynga,"Temporarily Remote in Chicago, IL",,"Partner with technical artists and engineers to implement user interface game assets in the game engine.Proficient written and verbal communication skills,…"
