,title,company,location,salary,summary
36,DreamWorks Feature - Production Coordinator,NBCUniversal,"Glendale, CA",,Effectively communicates with artists regarding timelines.Performs artist check-ins to determine status of the work in the department.
37,DreamWorks Feature - Administrative Assistant,NBCUniversal,"Glendale, CA",,"Strong technical skills including MS Office (PowerPoint, Excel and Word).DreamWorks is seeking an Administrative Assistant to support the Digital Operations VP…"
38,"Technical Artist, Horizon/VR",Meta,"Los Angeles, CA 90066 (Del Rey area)",,Develop broad technical expertise to assist in a wide variety of technical and artistic tasks.Experience communicating across team members including engineers…
39,Assistant Production Manager,WarnerMedia,"Burbank, CA 91505",,Makes sure storyboard artists are working with the correct technical parameters.Monitors individual artist progress and flags potential schedule issues up to…
40,Senior 3D Artist,"Sony Pictures Entertainment, Inc.","Culver City, CA",,Strong technical skills and problem-solving ability while working with artists and software developers.Within Sony Innovation Studios the Senior 3D Artist is…
41,Techvis Artist,The Third Floor,"Los Angeles, CA 90036 (Mid Wilshire area)+1 location",,Able to generate technical diagrams & Quicktime’s that demonstrate complex technical issues and requirements in a clear and concise manner.
42,newSenior Artist,Activision,"Santa Monica, CA",,DAILY RESPONSIBILITIES This role includes but is not limited to the following tasks/duties: Work as a lead photographer driving the visual style for games in a…
43,"Director, Label Support",Universal Music Group,"Encino, CA 91436",,"Articulate in written and oral communication skills with a knack for technical writing.You will play a central role in defining policies, procedures, and…"
44,"newStudio Associate, Content Production",Sephora USA,"Hybrid remote in Los Angeles, CA 90038",,"Excellent technical skills - MS Office; Excel, Word, PowerPoint.As our Studio Associate, you are responsible for supporting the day-to-day operations of…"
45,Sr. Technical Artist,Unity Technologies,"Burbank, CA+1 location",,"Solve technical challenges related to procedural and parametric content generation.Adept in Python scripting for Maya, 3ds Max, etc. for artist workflow tools…"
46,Unreal Technical Artist,The Third Floor,"Los Angeles, CA 90036 (Mid Wilshire area)+1 location",,Help to improve technical pipelines and FX creation techniques/tools.Able to think creatively and resolve technical challenges and limitations.
47,Graphic Designer/Production Artist,LA Philharmonic,"Los Angeles, CA 90012 (Downtown area)",,"This role requires a high level of technical skills, self-motivation, organization, and problem solving.Under supervision of the Art Director and Creative…"
48,SR. UNITY TECHNICAL ARTIST,Super Bit Machine,"Santa Monica, CA",,Integrate assets in Unity without sacrificing artistic vision or exceeding technical limits of minimum specification mobile devices.
49,"Director, Gallery & Museum Programming",El Camino College,"Torrance, CA 90506",,"Provides technical advice and hands-on work in gallery/museum setup, design, and installation of exhibits to optimize displays."
50,DreamWorks Feature - Production Coordinator,NBCUniversal,"Glendale, CA",,Effectively communicates with artists regarding timelines.Performs artist check-ins to determine status of the work in the department.
51,Senior CFX Artist,Company3/Method Studios,"Santa Monica, CA+1 location",,They will work closely with the VFX Supervisor and VFX Producer in achieving the highest creative and technical standards of work.
52,newSenior Graphic Artist,"National Warehouse Management, LLC","Beverly Hills, CA 90210",,Experience with product and apparel technical packs for product development.Must be able to conceptualize and pitch on-brand visuals to be used across multiple…
53,Full-Time Faculty,Otis College of Art and Design,"Los Angeles, CA 90045 (Playa Del Rey area)",,"Ability to analyze advanced product research, ideation, and technical drawings.Must be able to work creatively and effectively with a diverse student body as…"
54,Flame Artist - Method Studios LA,Company3/Method Studios,"Santa Monica, CA",,They will work closely with the VFX Supervisor and VFX Producer in achieving the highest creative and technical standards of work.
55,newSenior Environment Artist (Singleplayer Incubation Team),Electronic Arts,"Los Angeles, CA+2 locations",,"Experience collaborating directly with designers, engineers, and tech artists.May have some experience with Perforce and ability to troubleshoot technical…"
56,Senior Dynamic Artist,CoSA VFX,"North Hollywood, CA 91602",,"Capable of picking up setups from other artists as well as creating looks from scratch.Ability to collaborate with the Global Head of CG, VFX, CG, and FX…"
57,"Coordinator, Music Programming- Part-Time",SiriusXM,"Los Angeles, CA 90048 (Carthay area)",,"Exercises both creative abilities and technical skills.May act as liaison to music artists during celebrity visits and communicates with music labels, as…"
58,Stage Technician,California Institute of Technology,"Pasadena, CA 91125 (Pasadena area)",,Ability to apply advanced technical skills in event support and services.These programs may include the presentation of researchers and lecturers from Caltech…
59,Gameplay Engineer,Netflix,"Los Angeles, CA",,Provide technical expertise to other departments where needed.Work closely with peers and leadership to develop features that are of a cohesive technical and…
60,Associate Artist (Designer) - Design Team,Blizzard Entertainment,"Santa Monica, CA 90405",,Problem-solving skills and familiarity with technical constraints and limitations as they apply to designing for digital and print.
61,Technical Art,Activision,"Los Angeles, CA",,Identify potential technical art issues and collaborate with developers and Central resources to devise and implement solutions.
62,Lead Artist,Stage11,"Santa Monica, CA 90401",,You will be an accomplished production-focused artist with a proven track record in the game industry and an excellent creative and technical ability.
63,PH- 3D Character Artist and Rigger,"Disney Parks, Experiences and Products","Glendale, CA",,May partner with our technical teams to problem solve and look for solutions to platform limitations for 3D content.
64,Senior Technical Specialist - Musical Instruments/Brass,Yamaha,"Buena Park, CA 90620",,"Provide technical support for artist instruments through adjustments, repairs and customizations when warranted.Experience with Artist/Customer Relations."
